fips,county,state,year,candidate,vote
2,At large,Alaska,2016,Trump,163387
4013,Maricopa,Arizona,2016,Clinton,702907
4013,Maricopa,Arizona,2016,Trump,747361
4019,Pima,Arizona,2016,Clinton,224661
4019,Pima,Arizona,2016,Trump,167428
4021,Pinal,Arizona,2016,Clinton,47892
4021,Pinal,Arizona,2016,Trump,72819
4025,Yavapai,Arizona,2016,Clinton,35590
4025,Yavapai,Arizona,2016,Trump,71330
4015,Mohave,Arizona,2016,Clinton,17455
4015,Mohave,Arizona,2016,Trump,58282
4005,Coconino,Arizona,2016,Clinton,32404
4005,Coconino,Arizona,2016,Trump,21108
4027,Yuma,Arizona,2016,Clinton,24605
4027,Yuma,Arizona,2016,Trump,25165
4003,Cochise,Arizona,2016,Clinton,17450
4003,Cochise,Arizona,2016,Trump,28092
4017,Navajo,Arizona,2016,Clinton,16459
4017,Navajo,Arizona,2016,Trump,20577
4001,Apache,Arizona,2016,Clinton,17083
4001,Apache,Arizona,2016,Trump,8240
4007,Gila,Arizona,2016,Clinton,7003
4007,Gila,Arizona,2016,Trump,14182
4023,Santa Cruz,Arizona,2016,Clinton,11690
4023,Santa Cruz,Arizona,2016,Trump,3897
4009,Graham,Arizona,2016,Clinton,3301
4009,Graham,Arizona,2016,Trump,8025
4012,La Paz,Arizona,2016,Clinton,1575
4012,La Paz,Arizona,2016,Trump,4003
4011,Greenlee,Arizona,2016,Clinton,1092
4011,Greenlee,Arizona,2016,Trump,1892
5119,Pulaski,Arkansas,2016,Clinton,89574
5119,Pulaski,Arkansas,2016,Trump,61257
5007,Benton,Arkansas,2016,Clinton,28005
5007,Benton,Arkansas,2016,Trump,60871
5143,Washington,Arkansas,2016,Clinton,33366
5143,Washington,Arkansas,2016,Trump,41476
5125,Saline,Arkansas,2016,Clinton,13256
5125,Saline,Arkansas,2016,Trump,35863
5045,Faulkner,Arkansas,2016,Clinton,14629
5045,Faulkner,Arkansas,2016,Trump,29346
5131,Sebastian,Arkansas,2016,Clinton,12300
5131,Sebastian,Arkansas,2016,Trump,29127
5051,Garland,Arkansas,2016,Clinton,12311
5051,Garland,Arkansas,2016,Trump,26087
5031,Craighead,Arkansas,2016,Clinton,10538
5031,Craighead,Arkansas,2016,Trump,22892
5145,White,Arkansas,2016,Clinton,5170
5145,White,Arkansas,2016,Trump,21077
5085,Lonoke,Arkansas,2016,Clinton,5664
5085,Lonoke,Arkansas,2016,Trump,19958
5069,Jefferson,Arkansas,2016,Clinton,15772
5069,Jefferson,Arkansas,2016,Trump,9250
5115,Pope,Arkansas,2016,Clinton,5000
5115,Pope,Arkansas,2016,Trump,16256
5033,Crawford,Arkansas,2016,Clinton,4488
5033,Crawford,Arkansas,2016,Trump,16686
5005,Baxter,Arkansas,2016,Clinton,4169
5005,Baxter,Arkansas,2016,Trump,14682
5139,Union,Arkansas,2016,Clinton,5855
5139,Union,Arkansas,2016,Trump,10456
5009,Boone,Arkansas,2016,Clinton,2926
5009,Boone,Arkansas,2016,Trump,12235
5091,Miller,Arkansas,2016,Clinton,4273
5091,Miller,Arkansas,2016,Trump,11294
5035,Crittenden,Arkansas,2016,Clinton,8410
5035,Crittenden,Arkansas,2016,Trump,6964
5055,Greene,Arkansas,2016,Clinton,3071
5055,Greene,Arkansas,2016,Trump,10720
5063,Independence,Arkansas,2016,Clinton,2881
5063,Independence,Arkansas,2016,Trump,9936
5093,Mississippi,Arkansas,2016,Clinton,5670
5093,Mississippi,Arkansas,2016,Trump,7061
5023,Cleburne,Arkansas,2016,Clinton,2101
5023,Cleburne,Arkansas,2016,Trump,9458
5059,Hot Spring,Arkansas,2016,Clinton,3149
5059,Hot Spring,Arkansas,2016,Trump,8172
5015,Carroll,Arkansas,2016,Clinton,3342
5015,Carroll,Arkansas,2016,Trump,6786
5103,Ouachita,Arkansas,2016,Clinton,4321
5103,Ouachita,Arkansas,2016,Trump,5351
5071,Johnson,Arkansas,2016,Clinton,2427
5071,Johnson,Arkansas,2016,Trump,6091
5027,Columbia,Arkansas,2016,Clinton,3140
5027,Columbia,Arkansas,2016,Trump,5456
5019,Clark,Arkansas,2016,Clinton,3620
5019,Clark,Arkansas,2016,Trump,4404
