CD,Incumbent,Party,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
TX-10,"McCaul, Michael",Rep,43.2,52.3,38.8,59.1,43,56
TX-11,"Conaway, Michael",Rep,19.1,77.8,19.6,79.2,23,76
TX-12,"Granger, Kay",Rep,32.7,62.9,31.7,66.8,35,64
TX-13,"Thornberry, Mac",Rep,16.9,79.9,18.5,80.2,22,77
TX-14,"Weber, Randy",Rep,38.4,58.2,39.5,59.3,42,57
TX-15,"Gonzalez, Vicente",Dem,56.7,40,57.4,41.5,57,42
TX-16,"O'Rourke, Beto",Dem,67.9,27.2,64.2,34.5,64,35
TX-17,"Flores, Bill",Rep,38.8,56.3,37.7,60.4,41,58
TX-18,"Jackson-Lee, Sheila",Dem,76.5,20,76.1,22.8,77,23
TX-19,"Arrington, Jodey",Rep,23.5,72.5,25,73.6,28,71
TX-20,"Castro, Joaquin",Dem,61,34.3,58.9,39.7,58,41
TX-21,"Smith, Lamar",Rep,42.5,52.5,37.9,59.8,42,56
TX-22,"Olson, Pete",Rep,44.2,52.1,36.7,62.1,39,60
TX-23,"Hurd, Will",Rep,49.8,46.4,48.1,50.7,50,49
TX-24,"Marchant, Kenny",Rep,44.5,50.7,38,60.4,41,58
TX-25,"Williams, Roger",Rep,40.2,55.1,37.8,59.9,43,56
TX-26,"Burgess, Michael",Rep,34.4,60.9,30.7,67.6,35,64
TX-27,"Farenthold, Blake",Rep,36.5,60.1,38.2,60.5,40,59
TX-28,"Cuellar, Henry",Dem,58.3,38.5,60.3,38.7,58,41
TX-29,"Green, Gene",Dem,71.1,25.4,65.9,33,62,37
TX-30,"Johnson, E.B.",Dem,79.1,18.3,79.6,19.6,78,21
TX-31,"Carter, John",Rep,40.8,53.5,38.3,59.6,43,56
TX-32,"Sessions, Pete",Rep,48.5,46.6,41.5,57,44,55
TX-33,"Veasey, Marc",Dem,72.9,23.7,72,27.1,69,31
TX-34,"Vela, Filemon",Dem,59.2,37.7,60.8,38.3,60,39
