CD,Incumbent,Party,Clinton 2016,Trump 2016,Obama 2012,Romney 2012,Obama 2008,McCain 2008
MA-04,"Kennedy, Joe",Dem,59.2,35,57.1,41.3,60.4,37.9
MA-05,"Clark, Katherine",Dem,69.3,25.7,65.2,33.1,66.2,32.1
MA-06,"Moulton, Seth",Dem,56.1,38.2,54.7,43.9,56.9,41.4
MA-07,"Capuano, Mike",Dem,84.1,11.9,82.5,15.6,81.9,16.7
MA-08,"Lynch, Stephen",Dem,60.4,34.4,57.8,40.8,57.9,40.5
MA-09,"Keating, Bill",Dem,52.5,41.8,55.5,43.1,57.8,40.6
MD-01,"Harris, Andy",Rep,33.5,61.9,37.8,60.3,38.4,59.6
MD-02,"Ruppersberger, Dutch",Dem,60.2,35.6,62.9,35.1,60.6,37.5
MD-03,"Sarbanes, John",Dem,62.9,32.1,60.6,37.2,60.1,38
MD-04,"Brown, Anthony",Dem,77.7,19.2,78.3,20.7,77.3,21.8
MD-05,"Hoyer, Steny",Dem,63.6,32.6,66.2,32.3,65.1,33.6
MD-06,"Delaney, John",Dem,55.8,39.7,55.4,42.6,56.3,42
MD-07,"Cummings, Elijah",Dem,75.5,20.5,76,22.5,76.2,22.4
MD-08,"Raskin, Jamie",Dem,64.6,30.9,62,36.1,62.8,35.6
ME-01,"Pingree, Chellie",Dem,54.1,39.3,59.6,38.2,60.7,37.5
ME-02,"Poliquin, Bruce",Rep,41.1,51.4,52.9,44.4,54.6,43.4
MI-01,"Bergman, Jack",Rep,36.6,57.9,45.3,53.6,49.7,48.4
MI-02,"Huizenga, Bill",Rep,38.2,55.8,43.1,56,48,50.3
MI-03,"Amash, Justin",Rep,42.2,51.6,45.8,53.1,49.7,48.6
MI-04,"Moolenaar, John",Rep,34.7,59.5,45.5,53.5,49.6,48.6
MI-05,"Kildee, Dan",Dem,49.7,45.5,60.7,38.3,63,35.3
MI-06,"Upton, Fred",Rep,42.9,51.3,48.8,50.2,53.1,45.2
MI-07,"Walberg, Tim",Rep,38.7,55.7,47.9,51,50.8,47.4
MI-08,"Bishop, Mike",Rep,43.9,50.6,48,51.1,52,46.4
MI-09,"Levin, Sander",Dem,51.5,43.7,57.2,41.9,58.1,40.1
MI-10,"Mitchell, Paul",Rep,31.6,63.8,43.7,55.3,48,50
MI-11,"Trott, Dave",Rep,45.3,49.7,46.9,52.3,50.2,48.3
MI-12,"Dingell, Debbie",Dem,60.8,34.5,66.2,32.8,66.9,31.4
MI-13,"Conyers, John",Dem,78.8,18.1,85.2,14.3,84.8,14.2
MI-14,"Lawrence, Brenda",Dem,79.2,18.3,81,18.6,82.2,17.1
MN-01,"Walz, Tim",Dem,38.4,53.3,49.6,48.2,50.8,46.7
MN-02,"Lewis, Jason",Rep,45.3,46.5,49.1,49,50.5,47.6
MN-03,"Paulsen, Erik",Rep,50.8,41.4,49.6,48.8,51,47.4
MN-04,"McCollum, Betty",Dem,61.5,30.6,62.5,35.5,62.6,35.5
MN-05,"Ellison, Keith",Dem,73.7,18.5,73.5,24,73.4,24.5
MN-06,"Emmer, Tom",Rep,33.2,58.9,41.5,56.5,43.2,54.7
MN-07,"Peterson, Collin",Dem,31,61.8,44.1,53.9,47.1,50.4
MN-08,"Nolan, Rick",Dem,38.6,54.2,51.7,46.2,53.1,44.5
MO-01,"Clay, Lacy",Dem,77,18.8,79.9,18.9,80.3,18.6
MO-02,"Wagner, Ann",Rep,42.3,52.6,41.4,57.1,46.4,52.6
MO-03,"Luetkemeyer, Blaine",Rep,28.1,67.1,36.1,62,42.8,55.8
MO-04,"Hartzler, Vicki",Rep,29.3,65.3,36.4,61.2,41.9,56.5
MO-05,"Cleaver, Emanuel",Dem,54.1,40.6,58.9,39.4,62,36.8
MO-06,"Graves, Sam",Rep,31.7,63.1,37.9,60,43.1,55.3
MO-07,"Long, Billy",Rep,24.7,70.4,30.3,67.6,35.3,63.1
MO-08,"Smith, Jason",Rep,21,75.4,32,65.9,38.3,60
MS-01,"Kelly, Trent",Rep,32.4,65.4,37,61.9,36.6,62.4
MS-02,"Thompson, Bennie",Dem,63.6,35.1,66.4,33,64.2,35.2
MS-03,"Harper, Gregg",Rep,36.8,61.3,39.1,60,38.4,60.8
MS-04,"Palazzo, Steven",Rep,28.2,69.4,31.2,67.6,31.1,67.9
MT-AL,,Rep,35.9,56.5,41.7,55.4,47.3,49.5
NC-01,"Butterfield, G.K.",Dem,67.5,30.5,68.6,31.4,67.3,32.2
NC-02,"Holding, George",Rep,43.6,53.2,43.5,56.5,44.8,54.3
NC-03,"Jones, Walter",Rep,36.9,60.5,41,59,42.4,56.8
NC-04,"Price, David",Dem,68.2,28.2,65.4,34.6,65.8,33.2
NC-05,"Foxx, Virginia",Rep,39.8,57.3,42.8,57.2,44.6,54.2
NC-06,"Walker, Mark",Rep,41.4,56.1,43.6,56.4,45.2,53.8
NC-07,"Rouzer, David",Rep,39.9,57.6,43.6,56.4,44.6,54.6
NC-08,"Hudson, Richard",Rep,41.1,56.1,44.8,55.2,45.3,53.9
NC-09,"Pittenger, Robert",Rep,42.8,54.4,44.2,55.8,45.2,54
NC-10,"McHenry, Patrick",Rep,36.5,61,40.9,59.1,41.6,57.4
NC-11,"Meadows, Mark",Rep,33.9,63.3,39.6,60.4,41.5,57.1
NC-12,"Adams, Alma",Dem,68.4,28.4,68.4,31.6,68,31.3
NC-13,"Budd, Ted",Rep,44,53.4,46.6,53.4,47.9,51.2
ND-AL,"Cramer, Kevin",Rep,27.7,64.1,38.9,58.7,44.6,53.3
NE-01,"Fortenberry, Jeff",Rep,36.2,57.5,40.8,57.4,44.2,54.3
NE-02,"Bacon, Don",Rep,46,48.2,45.7,52.9,50,48.8
NE-03,"Smith, Adrian",Rep,20,74.9,27.8,70.2,31.1,67.1
NH-01,"Shea-Porter, Carol",Dem,46.6,48.2,50.2,48.6,52.8,46.4
NH-02,"Kuster, Annie",Dem,48.6,46.2,54.2,44.5,56,43.1
NJ-01,"Norcross, Donald",Dem,60.6,36.1,65.1,33.8,64.7,34.2
NJ-02,"LoBiondo, Frank",Rep,46,50.6,53.5,45.4,53.2,45.5
NJ-03,"MacArthur, Tom",Rep,45.2,51.4,51.8,47.2,51.1,47.7
NJ-04,"Smith, Chris",Rep,41,55.8,44.7,54.2,45.3,53.6
NJ-05,"Gottheimer, Josh",Dem,47.7,48.8,47.9,51,48.5,50.5
NJ-06,"Pallone, Frank",Dem,56.2,40.6,61.4,37.4,58.4,40.5
NJ-07,"Lance, Leonard",Rep,48.6,47.5,46.3,52.5,47.2,51.6
NJ-08,"Sires, Albio",Dem,75.7,21.5,78.3,20.7,73.2,26
NJ-09,"Pascrell, Bill",Dem,64.3,33.1,68.3,30.8,64,35.2
NJ-10,"Payne, Donald",Dem,85.2,12.8,87.9,11.5,84.9,14.6
NJ-11,"Frelinghuysen, Rodney",Rep,47.9,48.8,46.6,52.4,47,52.1
NJ-12,"Watson Coleman, Bonnie",Dem,65,31.8,66.5,32.4,65.7,33.3
NM-01,"Lujan Grisham, Michelle",Dem,51.6,35.1,55.3,39.6,59.7,39
NM-02,"Pearce, Steve",Rep,39.9,50.1,44.9,51.7,48.4,50.2
NM-03,"Lujan, Ben",Dem,51.8,36.7,57.5,38.7,61.2,37.5
NV-01,"Titus, Dina",Dem,61.6,32.6,65.6,32.4,64.5,33
NV-02,"Amodei, Mark",Rep,39.7,52,44.8,52.9,49.4,48.2
NV-03,"Rosen, Jacky",Dem,46.5,47.5,49.5,48.7,53.5,44.6
NV-04,"Kihuen, Ruben",Dem,49.5,44.6,54.4,43.7,56.4,41.4
NY-01,"Zeldin, Lee",Rep,42.2,54.5,49.6,49.1,51,48
NY-02,"King, Peter",Rep,43.9,53,51.6,47.2,51,48
NY-03,"Suozzi, Tom",Dem,51.6,45.5,50.8,48.2,54,46
NY-04,"Rice, Kathleen",Dem,53.4,43.8,56.3,42.8,55,44
NY-05,"Meeks, Gregory",Dem,85.7,12.7,90.6,9.1,86,14
NY-06,"Meng, Grace",Dem,65.1,32.1,67.8,31,63,36
NY-07,"Velazquez, Nydia",Dem,86.9,10.4,88.4,10.3,84,15
NY-08,"Jeffries, Hakeem",Dem,84.6,13.5,89.2,10.2,86,14
NY-09,"Clarke, Yvette",Dem,83.5,14.4,85.2,13.9,84,15
NY-10,"Nadler, Jerrold",Dem,78.3,18.8,73.6,25.1,76,23
NY-11,"Donovan, Dan",Rep,43.8,53.6,51.6,47.3,48,51
NY-12,"Maloney, Carolyn",Dem,83.3,13.5,76.9,21.5,80,19
NY-13,"Espaillat, Adriano",Dem,92.3,5.4,94.6,4.6,93,6
NY-14,"Crowley, Joe",Dem,77.7,19.8,80.7,18.3,76,23
NY-15,"Serrano, Jose",Dem,93.8,4.9,96.7,3,95,5
NY-16,"Engel, Eliot",Dem,75.1,22.5,73.7,25.5,73,26
NY-17,"Lowey, Nita",Dem,58.6,38.4,57.1,41.9,58,41
NY-18,"Maloney, Sean",Dem,47.1,49,51.4,47.1,52,47
NY-19,"Faso, John",Rep,44,50.8,52.1,45.9,53,45
NY-20,"Tonko, Paul",Dem,54,40.5,59.2,38.8,58,40
NY-21,"Stefanik, Elise",Rep,40,53.9,52.2,46.1,52,47
NY-22,"Tenney, Claudia",Rep,39.3,54.8,48.8,49.2,49,49
NY-23,"Reed, Tom",Rep,39.7,54.5,48.4,49.6,50,49
