fips,election,candidate,party,vote
2,2004,George W. Bush,Republican,190889
2,2004,John Kerry,Democratic,111025
2,2004,Ralph Nader,Populist,5069
2,2004,Michael Peroutka,AK Independence,2092
2,2004,Michael Badnarik,AK Libertarian,1675
2,2004,David Cobb,Green,1058
2,2004,Write-ins,-,790
1073,2004,George W. Bush,AL Republican,158680
1073,2004,John Kerry,AL Democratic,132286
1073,2004,Ralph Nader,Independent,999
1073,2004,Michael Badnarik,Independent,567
1073,2004,Michael Peroutka,Independent,241
1073,2004,Write-ins,-,194
1097,2004,George W. Bush,AL Republican,92014
1097,2004,John Kerry,AL Democratic,63732
1097,2004,Ralph Nader,Independent,598
1097,2004,Michael Badnarik,Independent,211
1097,2004,Michael Peroutka,Independent,167
1097,2004,Write-ins,-,49
1089,2004,George W. Bush,AL Republican,77173
1089,2004,John Kerry,AL Democratic,52644
1089,2004,Ralph Nader,Independent,548
1089,2004,Michael Badnarik,Independent,438
1089,2004,Michael Peroutka,Independent,159
1089,2004,Write-ins,-,100
1117,2004,George W. Bush,AL Republican,63435
1117,2004,John Kerry,AL Democratic,14850
1117,2004,Ralph Nader,Independent,284
1117,2004,Michael Badnarik,Independent,190
1117,2004,Michael Peroutka,Independent,109
1117,2004,Write-ins,-,38
1101,2004,John Kerry,AL Democratic,45160
1101,2004,George W. Bush,AL Republican,44097
1101,2004,Ralph Nader,Independent,198
1101,2004,Michael Badnarik,Independent,124
1101,2004,Michael Peroutka,Independent,46
1101,2004,Write-ins,-,25
1003,2004,George W. Bush,AL Republican,52971
1003,2004,John Kerry,AL Democratic,15599
1003,2004,Ralph Nader,Independent,371
1003,2004,Michael Badnarik,Independent,269
1003,2004,Michael Peroutka,Independent,72
1003,2004,Write-ins,-,38
1125,2004,George W. Bush,AL Republican,42877
1125,2004,John Kerry,AL Democratic,26447
1125,2004,Ralph Nader,Independent,263
1125,2004,Michael Badnarik,Independent,110
1125,2004,Michael Peroutka,Independent,83
1125,2004,Write-ins,-,50
1081,2004,George W. Bush,AL Republican,27972
1081,2004,John Kerry,AL Democratic,16227
1081,2004,Ralph Nader,Independent,204
1081,2004,Michael Badnarik,Independent,170
1081,2004,Michael Peroutka,Independent,37
1103,2004,George W. Bush,AL Republican,32477
1103,2004,John Kerry,AL Democratic,14131
1103,2004,Ralph Nader,Independent,187
1103,2004,Michael Badnarik,Independent,114
1103,2004,Michael Peroutka,Independent,69
1103,2004,Write-ins,-,29
1015,2004,George W. Bush,AL Republican,29814
1015,2004,John Kerry,AL Democratic,15083
1015,2004,Ralph Nader,Independent,182
1015,2004,Michael Badnarik,Independent,96
1015,2004,Michael Peroutka,Independent,53
1015,2004,Write-ins,-,21
1055,2004,George W. Bush,AL Republican,26999
1055,2004,John Kerry,AL Democratic,15328
1055,2004,Ralph Nader,Independent,196
1055,2004,Michael Badnarik,Independent,99
1055,2004,Michael Peroutka,Independent,43
1055,2004,Write-ins,-,15
1069,2004,George W. Bush,AL Republican,26874
1069,2004,John Kerry,AL Democratic,9144
1069,2004,Ralph Nader,Independent,91
1069,2004,Michael Peroutka,Independent,38
1069,2004,Michael Badnarik,Independent,37
1069,2004,Write-ins,-,17
1083,2004,George W. Bush,AL Republican,19702
1083,2004,John Kerry,AL Democratic,9126
1083,2004,Ralph Nader,Independent,120
1083,2004,Michael Peroutka,Independent,56
1083,2004,Michael Badnarik,Independent,54
1083,2004,Write-ins,-,15
1077,2004,George W. Bush,AL Republican,22161
1077,2004,John Kerry,AL Democratic,14628
1077,2004,Ralph Nader,Independent,155
1077,2004,Michael Badnarik,Independent,80
1077,2004,Michael Peroutka,Independent,57
1077,2004,Write-ins,-,26
1115,2004,George W. Bush,AL Republican,23500
1115,2004,John Kerry,AL Democratic,5456
1115,2004,Ralph Nader,Independent,96
1115,2004,Michael Badnarik,Independent,50
1115,2004,Michael Peroutka,Independent,45
1115,2004,Write-ins,-,14
1043,2004,George W. Bush,AL Republican,26818
1043,2004,John Kerry,AL Democratic,8045
1043,2004,Ralph Nader,Independent,155
1043,2004,Michael Peroutka,Independent,75
1043,2004,Michael Badnarik,Independent,64
1043,2004,Write-ins,-,34
1051,2004,George W. Bush,AL Republican,22056
1051,2004,John Kerry,AL Democratic,6471
1051,2004,Ralph Nader,Independent,68
1051,2004,Michael Badnarik,Independent,48
1051,2004,Michael Peroutka,Independent,30
1051,2004,Write-ins,-,7
1095,2004,George W. Bush,AL Republican,22783
1095,2004,John Kerry,AL Democratic,8452
1095,2004,Ralph Nader,Independent,155
1095,2004,Michael Badnarik,Independent,60
1095,2004,Michael Peroutka,Independent,30
1095,2004,Write-ins,-,11
1121,2004,George W. Bush,AL Republican,18331
1121,2004,John Kerry,AL Democratic,11374
1121,2004,Ralph Nader,Independent,89
1121,2004,Michael Badnarik,Independent,50
1121,2004,Michael Peroutka,Independent,45
1121,2004,Write-ins,-,9
1127,2004,George W. Bush,AL Republican,19167
1127,2004,John Kerry,AL Democratic,9016
1127,2004,Ralph Nader,Independent,108
1127,2004,Michael Peroutka,Independent,33
1127,2004,Michael Badnarik,Independent,27
1127,2004,Write-ins,-,16
1049,2004,George W. Bush,AL Republican,16904
1049,2004,John Kerry,AL Democratic,7092
1049,2004,Ralph Nader,Independent,99
1049,2004,Michael Badnarik,Independent,34
1049,2004,Michael Peroutka,Independent,27
1049,2004,Write-ins,-,13
1009,2004,George W. Bush,AL Republican,17386
1009,2004,John Kerry,AL Democratic,3938
1009,2004,Ralph Nader,Independent,92
1009,2004,Michael Badnarik,Independent,47
1009,2004,Michael Peroutka,Independent,31
1009,2004,Write-ins,-,10
1001,2004,George W. Bush,AL Republican,15196
1001,2004,John Kerry,AL Democratic,4758
1001,2004,Ralph Nader,Independent,74
1001,2004,Michael Badnarik,Independent,24
1001,2004,Michael Peroutka,Independent,21
1001,2004,Write-ins,-,8
1033,2004,George W. Bush,AL Republican,13188
1033,2004,John Kerry,AL Democratic,10598
1033,2004,Ralph Nader,Independent,88
1033,2004,Michael Badnarik,Independent,34
1033,2004,Michael Peroutka,Independent,18
1033,2004,Write-ins,-,9
1071,2004,George W. Bush,AL Republican,11534
1071,2004,John Kerry,AL Democratic,8635
1071,2004,Ralph Nader,Independent,92
1071,2004,Michael Badnarik,Independent,28
1071,2004,Michael Peroutka,Independent,17
1071,2004,Write-ins,-,15
1031,2004,George W. Bush,AL Republican,13019
1031,2004,John Kerry,AL Democratic,4480
1031,2004,Ralph Nader,Independent,73
1031,2004,Michael Badnarik,Independent,22
1031,2004,Michael Peroutka,Independent,16
1031,2004,Write-ins,-,6
1123,2004,George W. Bush,AL Republican,12392
1123,2004,John Kerry,AL Democratic,5451
1123,2004,Ralph Nader,Independent,53
1123,2004,Michael Badnarik,Independent,31
1123,2004,Michael Peroutka,Independent,17
1123,2004,Write-ins,-,8
1113,2004,John Kerry,AL Democratic,8375
1113,2004,George W. Bush,AL Republican,8337
1113,2004,Ralph Nader,Independent,51
1113,2004,Michael Badnarik,Independent,26
1113,2004,Write-ins,-,13
1113,2004,Michael Peroutka,Independent,7
1047,2004,John Kerry,AL Democratic,11175
1047,2004,George W. Bush,AL Republican,7335
1047,2004,Ralph Nader,Independent,28
1047,2004,Michael Peroutka,Independent,19
1047,2004,Michael Badnarik,Independent,13
1047,2004,Write-ins,-,3
1045,2004,George W. Bush,AL Republican,13621
1045,2004,John Kerry,AL Democratic,4484
1045,2004,Ralph Nader,Independent,75
1045,2004,Michael Badnarik,Independent,24
1045,2004,Michael Peroutka,Independent,20
1045,2004,Write-ins,-,7
1021,2004,George W. Bush,AL Republican,12829
1021,2004,John Kerry,AL Democratic,3778
1021,2004,Ralph Nader,Independent,46
1021,2004,Michael Badnarik,Independent,22
1021,2004,Michael Peroutka,Independent,15
1021,2004,Write-ins,-,3
1039,2004,George W. Bush,AL Republican,11119
1039,2004,John Kerry,AL Democratic,3423
1039,2004,Ralph Nader,Independent,37
1039,2004,Michael Peroutka,Independent,33
1039,2004,Michael Badnarik,Independent,12
1039,2004,Write-ins,-,3
1053,2004,George W. Bush,AL Republican,8513
1053,2004,John Kerry,AL Democratic,3814
1053,2004,Ralph Nader,Independent,28
1053,2004,Michael Peroutka,Independent,20
1053,2004,Michael Badnarik,Independent,13
1053,2004,Write-ins,-,7
1079,2004,George W. Bush,AL Republican,7730
1079,2004,John Kerry,AL Democratic,6155
1079,2004,Ralph Nader,Independent,44
1079,2004,Michael Peroutka,Independent,34
1079,2004,Michael Badnarik,Independent,29
1079,2004,Write-ins,-,9
1017,2004,George W. Bush,AL Republican,7622
1017,2004,John Kerry,AL Democratic,5347
1017,2004,Ralph Nader,Independent,42
1017,2004,Michael Badnarik,Independent,17
1017,2004,Michael Peroutka,Independent,4
1109,2004,George W. Bush,AL Republican,7483
1109,2004,John Kerry,AL Democratic,4334
1109,2004,Ralph Nader,Independent,44
1109,2004,Michael Badnarik,Independent,16
1109,2004,Michael Peroutka,Independent,3
1109,2004,Write-ins,-,3
1025,2004,George W. Bush,AL Republican,6730
1025,2004,John Kerry,AL Democratic,4627
1025,2004,Ralph Nader,Independent,19
1025,2004,Michael Peroutka,Independent,9
1025,2004,Michael Badnarik,Independent,8
1025,2004,Write-ins,-,1
1093,2004,George W. Bush,AL Republican,8983
1093,2004,John Kerry,AL Democratic,3808
1093,2004,Ralph Nader,Independent,61
1093,2004,Michael Peroutka,Independent,10
1093,2004,Michael Badnarik,Independent,9
1093,2004,Write-ins,-,4
1059,2004,George W. Bush,AL Republican,7690
1059,2004,John Kerry,AL Democratic,4514
1059,2004,Ralph Nader,Independent,48
1059,2004,Michael Badnarik,Independent,9
1059,2004,Michael Peroutka,Independent,4
1059,2004,Write-ins,-,4
1061,2004,George W. Bush,AL Republican,8342
1061,2004,John Kerry,AL Democratic,2113
1061,2004,Ralph Nader,Independent,27
1061,2004,Michael Badnarik,Independent,22
1061,2004,Michael Peroutka,Independent,12
1061,2004,Write-ins,-,4
1091,2004,George W. Bush,AL Republican,5255
1091,2004,John Kerry,AL Democratic,5037
1091,2004,Ralph Nader,Independent,16
1091,2004,Michael Badnarik,Independent,10
1091,2004,Michael Peroutka,Independent,3
1091,2004,Write-ins,-,1
1019,2004,George W. Bush,AL Republican,5923
1019,2004,John Kerry,AL Democratic,3040
1019,2004,Ralph Nader,Independent,43
1019,2004,Michael Badnarik,Independent,22
1019,2004,Michael Peroutka,Independent,15
1019,2004,Write-ins,-,6
1005,2004,George W. Bush,AL Republican,5899
1005,2004,John Kerry,AL Democratic,4832
1005,2004,Ralph Nader,Independent,26
1005,2004,Michael Badnarik,Independent,12
1005,2004,Michael Peroutka,Independent,7
1005,2004,Write-ins,-,1
1133,2004,George W. Bush,AL Republican,8130
1133,2004,John Kerry,AL Democratic,2236
1133,2004,Ralph Nader,Independent,34
1133,2004,Michael Badnarik,Independent,11
1133,2004,Michael Peroutka,Independent,8
1133,2004,Write-ins,-,4
1099,2004,George W. Bush,AL Republican,5831
1099,2004,John Kerry,AL Democratic,3666
1099,2004,Ralph Nader,Independent,23
1099,2004,Michael Peroutka,Independent,6
1099,2004,Michael Badnarik,Independent,5
1099,2004,Write-ins,-,3
1111,2004,George W. Bush,AL Republican,6127
1111,2004,John Kerry,AL Democratic,2817
1111,2004,Ralph Nader,Independent,35
1111,2004,Michael Badnarik,Independent,15
1111,2004,Write-ins,-,4
1111,2004,Michael Peroutka,Independent,3
1107,2004,George W. Bush,AL Republican,5170
1107,2004,John Kerry,AL Democratic,3915
1107,2004,Ralph Nader,Independent,24
1107,2004,Michael Badnarik,Independent,14
1107,2004,Michael Peroutka,Independent,6
1107,2004,Write-ins,-,3
1087,2004,John Kerry,AL Democratic,7800
1087,2004,George W. Bush,AL Republican,1570
1087,2004,Ralph Nader,Independent,16
1087,2004,Michael Badnarik,Independent,12
1087,2004,Michael Peroutka,Independent,8
1087,2004,Write-ins,-,1
1007,2004,George W. Bush,AL Republican,5472
1007,2004,John Kerry,AL Democratic,2089
1007,2004,Ralph Nader,Independent,12
1007,2004,Michael Peroutka,Independent,12
1007,2004,Michael Badnarik,Independent,10
1007,2004,Write-ins,-,5
1013,2004,George W. Bush,AL Republican,4979
1013,2004,John Kerry,AL Democratic,3413
1013,2004,Ralph Nader,Independent,13
1013,2004,Michael Badnarik,Independent,7
1013,2004,Michael Peroutka,Independent,3
1013,2004,Write-ins,-,1
1129,2004,George W. Bush,AL Republican,5060
1129,2004,John Kerry,AL Democratic,3145
1129,2004,Ralph Nader,Independent,29
1129,2004,Michael Peroutka,Independent,6
1129,2004,Write-ins,-,4
1129,2004,Michael Badnarik,Independent,3
1057,2004,George W. Bush,AL Republican,5534
1057,2004,John Kerry,AL Democratic,2408
1057,2004,Ralph Nader,Independent,30
1057,2004,Michael Badnarik,Independent,16
1057,2004,Michael Peroutka,Independent,7
1057,2004,Write-ins,-,7
1067,2004,George W. Bush,AL Republican,4881
1067,2004,John Kerry,AL Democratic,2452
1067,2004,Ralph Nader,Independent,15
1067,2004,Michael Badnarik,Independent,7
1067,2004,Michael Peroutka,Independent,6
1065,2004,John Kerry,AL Democratic,4631
1065,2004,George W. Bush,AL Republican,3281
1065,2004,Ralph Nader,Independent,15
1065,2004,Michael Badnarik,Independent,11
1065,2004,Michael Peroutka,Independent,4
1065,2004,Write-ins,-,3
1023,2004,George W. Bush,AL Republican,3897
1023,2004,John Kerry,AL Democratic,3303
1023,2004,Ralph Nader,Independent,15
1023,2004,Michael Badnarik,Independent,5
1023,2004,Michael Peroutka,Independent,5
1023,2004,Write-ins,-,2
1075,2004,George W. Bush,AL Republican,4894
1075,2004,John Kerry,AL Democratic,1956
1075,2004,Ralph Nader,Independent,26
1075,2004,Michael Peroutka,Independent,5
1075,2004,Michael Badnarik,Independent,4
1085,2004,John Kerry,AL Democratic,4233
1085,2004,George W. Bush,AL Republican,1786
1085,2004,Write-ins,-,2
1027,2004,George W. Bush,AL Republican,4624
1027,2004,John Kerry,AL Democratic,1893
1027,2004,Ralph Nader,Independent,38
1027,2004,Michael Peroutka,Independent,10
1027,2004,Michael Badnarik,Independent,9
1027,2004,Write-ins,-,2
1029,2004,George W. Bush,AL Republican,4370
1029,2004,John Kerry,AL Democratic,1391
1029,2004,Ralph Nader,Independent,24
1029,2004,Michael Badnarik,Independent,7
1029,2004,Write-ins,-,4
1029,2004,Michael Peroutka,Independent,2
1035,2004,George W. Bush,AL Republican,3271
1035,2004,John Kerry,AL Democratic,2719
1035,2004,Ralph Nader,Independent,17
1035,2004,Michael Peroutka,Independent,9
1035,2004,Michael Badnarik,Independent,5
1119,2004,John Kerry,AL Democratic,4527
1119,2004,George W. Bush,AL Republican,1880
1119,2004,Ralph Nader,Independent,10
1119,2004,Michael Peroutka,Independent,8
1119,2004,Michael Badnarik,Independent,6
1119,2004,Write-ins,-,2
1041,2004,George W. Bush,AL Republican,3777
1041,2004,John Kerry,AL Democratic,1698
1041,2004,Ralph Nader,Independent,17
1041,2004,Michael Peroutka,Independent,6
1041,2004,Michael Badnarik,Independent,2
1131,2004,John Kerry,AL Democratic,3838
1131,2004,George W. Bush,AL Republican,1834
1131,2004,Ralph Nader,Independent,4
1131,2004,Michael Badnarik,Independent,4
1131,2004,Michael Peroutka,Independent,2
1105,2004,John Kerry,AL Democratic,3767
1105,2004,George W. Bush,AL Republican,1738
1105,2004,Ralph Nader,Independent,7
1105,2004,Michael Badnarik,Independent,5
1105,2004,Michael Peroutka,Independent,5
1105,2004,Write-ins,-,1
1037,2004,George W. Bush,AL Republican,2905
1037,2004,John Kerry,AL Democratic,2055
1037,2004,Michael Peroutka,Independent,16
1037,2004,Michael Badnarik,Independent,13
1037,2004,Ralph Nader,Independent,8
1037,2004,Write-ins,-,4
1063,2004,John Kerry,AL Democratic,3764
1063,2004,George W. Bush,AL Republican,958
1063,2004,Ralph Nader,Independent,12
1063,2004,Michael Badnarik,Independent,11
1063,2004,Michael Peroutka,Independent,3
1011,2004,John Kerry,AL Democratic,3210
1011,2004,George W. Bush,AL Republican,1494
1011,2004,Michael Badnarik,Independent,5
1011,2004,Ralph Nader,Independent,4
1011,2004,Michael Peroutka,Independent,4
4013,2004,George W. Bush,Republican,679455
4013,2004,John Kerry,Democratic,504849
4013,2004,Michael Badnarik,Libertarian,6776
4013,2004,Write-ins,-,2210
4013,2004,Ralph Nader,Write-in,1607
4013,2004,David Cobb,Write-in,64
4019,2004,John Kerry,Democratic,193128
4019,2004,George W. Bush,Republican,171109
4019,2004,Michael Badnarik,Libertarian,2109
4019,2004,Write-ins,-,585
4019,2004,Ralph Nader,Write-in,522
4019,2004,David Cobb,Write-in,39
4021,2004,George W. Bush,Republican,37006
4021,2004,John Kerry,Democratic,27252
4021,2004,Michael Badnarik,Libertarian,333
4021,2004,Ralph Nader,Write-in,31
4025,2004,George W. Bush,Republican,53468
4025,2004,John Kerry,Democratic,33127
4025,2004,Michael Badnarik,Libertarian,612
4025,2004,Write-ins,-,194
4025,2004,Ralph Nader,Write-in,173
4025,2004,David Cobb,Write-in,9
4015,2004,George W. Bush,Republican,36794
4015,2004,John Kerry,Democratic,20503
4015,2004,Michael Badnarik,Libertarian,393
4015,2004,Ralph Nader,Write-in,113
4015,2004,Write-ins,-,108
4015,2004,David Cobb,Write-in,4
4005,2004,John Kerry,Democratic,29243
4005,2004,George W. Bush,Republican,22526
4005,2004,Michael Badnarik,Libertarian,377
4005,2004,Write-ins,-,124
4005,2004,Ralph Nader,Write-in,113
4005,2004,David Cobb,Write-in,8
4027,2004,George W. Bush,Republican,22184
4027,2004,John Kerry,Democratic,16032
4027,2004,Michael Badnarik,Libertarian,207
4027,2004,Write-ins,-,64
4027,2004,Ralph Nader,Write-in,42
4003,2004,George W. Bush,Republican,26556
4003,2004,John Kerry,Democratic,17514
4003,2004,Michael Badnarik,Libertarian,318
4003,2004,Write-ins,-,112
4003,2004,Ralph Nader,Write-in,83
4003,2004,David Cobb,Write-in,12
4017,2004,George W. Bush,Republican,17277
4017,2004,John Kerry,Democratic,14815
4017,2004,Michael Badnarik,Libertarian,224
4017,2004,Write-ins,-,61
4017,2004,Ralph Nader,Write-in,26
4017,2004,David Cobb,Write-in,1
4001,2004,John Kerry,Democratic,15658
4001,2004,George W. Bush,Republican,8384
4001,2004,Michael Badnarik,Libertarian,142
4001,2004,Ralph Nader,Write-in,14
4007,2004,George W. Bush,Republican,12343
4007,2004,John Kerry,Democratic,8314
4007,2004,Michael Badnarik,Libertarian,155
4007,2004,Write-ins,-,34
4007,2004,Ralph Nader,Write-in,31
4023,2004,John Kerry,Democratic,6909
4023,2004,George W. Bush,Republican,4668
4023,2004,Michael Badnarik,Libertarian,80
4023,2004,Write-ins,-,21
4023,2004,Ralph Nader,Write-in,10
4023,2004,David Cobb,Write-in,1
4009,2004,George W. Bush,Republican,7467
4009,2004,John Kerry,Democratic,3185
4009,2004,Michael Badnarik,Libertarian,66
4009,2004,Ralph Nader,Write-in,2
4012,2004,George W. Bush,Republican,3158
4012,2004,John Kerry,Democratic,1849
4012,2004,Michael Badnarik,Libertarian,45
4012,2004,Write-ins,-,4
4012,2004,Ralph Nader,Write-in,3
4011,2004,George W. Bush,Republican,1899
4011,2004,John Kerry,Democratic,1146
4011,2004,Michael Badnarik,Libertarian,19
4011,2004,Ralph Nader,Write-in,3
5119,2004,John Kerry,Democratic,84532
5119,2004,George W. Bush,Republican,67903
5119,2004,Ralph Nader,Populist AR,637
5119,2004,Michael Badnarik,Libertarian,240
5119,2004,David Cobb,Green AR,178
5119,2004,Michael Peroutka,Constitutional,130
5007,2004,George W. Bush,Republican,46571
5007,2004,John Kerry,Democratic,20756
5007,2004,Ralph Nader,Populist AR,395
5007,2004,Michael Badnarik,Libertarian,168
5007,2004,Michael Peroutka,Constitutional,151
5007,2004,David Cobb,Green AR,80
5143,2004,George W. Bush,Republican,35726
5143,2004,John Kerry,Democratic,27597
5143,2004,Ralph Nader,Populist AR,389
5143,2004,Michael Badnarik,Libertarian,176
5143,2004,Michael Peroutka,Constitutional,129
5143,2004,David Cobb,Green AR,86
5125,2004,George W. Bush,Republican,24864
5125,2004,John Kerry,Democratic,14153
5125,2004,Ralph Nader,Populist AR,231
5125,2004,Michael Badnarik,Libertarian,53
5125,2004,David Cobb,Green AR,47
5125,2004,Michael Peroutka,Constitutional,28
5045,2004,George W. Bush,Republican,21514
5045,2004,John Kerry,Democratic,14538
5045,2004,Ralph Nader,Populist AR,231
5045,2004,Michael Badnarik,Libertarian,212
5045,2004,Michael Peroutka,Constitutional,141
5045,2004,David Cobb,Green AR,50
5131,2004,George W. Bush,Republican,27303
5131,2004,John Kerry,Democratic,16479
5131,2004,Ralph Nader,Populist AR,217
5131,2004,Michael Badnarik,Libertarian,99
5131,2004,Michael Peroutka,Constitutional,67
5131,2004,David Cobb,Green AR,46
5051,2004,George W. Bush,Republican,21734
5051,2004,John Kerry,Democratic,18040
5051,2004,Ralph Nader,Populist AR,196
5051,2004,Michael Badnarik,Libertarian,85
5051,2004,Michael Peroutka,Constitutional,61
5051,2004,David Cobb,Green AR,38
5031,2004,George W. Bush,Republican,15818
5031,2004,John Kerry,Democratic,13665
5031,2004,Ralph Nader,Populist AR,179
5031,2004,Michael Badnarik,Libertarian,92
5031,2004,David Cobb,Green AR,24
5031,2004,Michael Peroutka,Constitutional,23
5145,2004,George W. Bush,Republican,17001
5145,2004,John Kerry,Democratic,9129
5145,2004,Ralph Nader,Populist AR,171
5145,2004,Michael Badnarik,Libertarian,51
5145,2004,Michael Peroutka,Constitutional,45
5145,2004,David Cobb,Green AR,28
5085,2004,George W. Bush,Republican,14398
5085,2004,John Kerry,Democratic,7454
5085,2004,Ralph Nader,Populist AR,98
5085,2004,David Cobb,Green AR,29
5085,2004,Michael Badnarik,Libertarian,28
5085,2004,Michael Peroutka,Constitutional,23
5069,2004,John Kerry,Democratic,19675
5069,2004,George W. Bush,Republican,10218
5069,2004,Ralph Nader,Populist AR,328
5069,2004,Michael Badnarik,Libertarian,137
5069,2004,Michael Peroutka,Constitutional,85
5069,2004,David Cobb,Green AR,50
5115,2004,George W. Bush,Republican,13614
5115,2004,John Kerry,Democratic,7100
5115,2004,Ralph Nader,Populist AR,90
5115,2004,Michael Badnarik,Libertarian,48
5115,2004,Michael Peroutka,Constitutional,33
5115,2004,David Cobb,Green AR,17
5033,2004,George W. Bush,Republican,13391
5033,2004,John Kerry,Democratic,6764
5033,2004,Ralph Nader,Populist AR,143
5033,2004,Michael Badnarik,Libertarian,43
5033,2004,Michael Peroutka,Constitutional,39
5033,2004,David Cobb,Green AR,21
5005,2004,George W. Bush,Republican,11128
5005,2004,John Kerry,Democratic,7129
5005,2004,Ralph Nader,Populist AR,155
5005,2004,Michael Badnarik,Libertarian,60
5005,2004,Michael Peroutka,Constitutional,37
5005,2004,David Cobb,Green AR,21
5139,2004,George W. Bush,Republican,10502
5139,2004,John Kerry,Democratic,7071
5139,2004,Michael Peroutka,Constitutional,144
5139,2004,Ralph Nader,Populist AR,62
5139,2004,Michael Badnarik,Libertarian,31
5139,2004,David Cobb,Green AR,22
5009,2004,George W. Bush,Republican,9793
5009,2004,John Kerry,Democratic,4640
5009,2004,Ralph Nader,Populist AR,117
5009,2004,Michael Peroutka,Constitutional,111
5009,2004,David Cobb,Green AR,71
5009,2004,Michael Badnarik,Libertarian,45
5091,2004,George W. Bush,Republican,8448
5091,2004,John Kerry,Democratic,6139
5091,2004,Ralph Nader,Populist AR,58
5091,2004,David Cobb,Green AR,13
5091,2004,Michael Peroutka,Constitutional,11
5091,2004,Michael Badnarik,Libertarian,9
5035,2004,John Kerry,Democratic,8277
5035,2004,George W. Bush,Republican,6930
5035,2004,Ralph Nader,Populist AR,53
5035,2004,David Cobb,Green AR,14
5035,2004,Michael Badnarik,Libertarian,13
5035,2004,Michael Peroutka,Constitutional,13
5055,2004,George W. Bush,Republican,7237
5055,2004,John Kerry,Democratic,6564
5055,2004,Ralph Nader,Populist AR,88
5055,2004,David Cobb,Green AR,30
5055,2004,Michael Badnarik,Libertarian,26
5055,2004,Michael Peroutka,Constitutional,10
5063,2004,George W. Bush,Republican,7430
5063,2004,John Kerry,Democratic,5443
5063,2004,Ralph Nader,Populist AR,72
5063,2004,Michael Peroutka,Constitutional,32
5063,2004,Michael Badnarik,Libertarian,19
5063,2004,David Cobb,Green AR,15
5093,2004,John Kerry,Democratic,7593
5093,2004,George W. Bush,Republican,6121
5093,2004,Michael Badnarik,Libertarian,208
5093,2004,Michael Peroutka,Constitutional,127
5093,2004,Ralph Nader,Populist AR,55
5093,2004,David Cobb,Green AR,49
5023,2004,George W. Bush,Republican,7107
5023,2004,John Kerry,Democratic,4517
5023,2004,Ralph Nader,Populist AR,79
5023,2004,Michael Peroutka,Constitutional,29
5023,2004,Michael Badnarik,Libertarian,16
5023,2004,David Cobb,Green AR,13
5059,2004,George W. Bush,Republican,5960
5059,2004,John Kerry,Democratic,5901
5059,2004,Ralph Nader,Populist AR,136
5059,2004,Michael Peroutka,Constitutional,26
5059,2004,Michael Badnarik,Libertarian,22
5059,2004,David Cobb,Green AR,20
5015,2004,George W. Bush,Republican,6184
5015,2004,John Kerry,Democratic,4161
5015,2004,Ralph Nader,Populist AR,76
5015,2004,Michael Badnarik,Libertarian,22
5015,2004,David Cobb,Green AR,20
5015,2004,Michael Peroutka,Constitutional,18
5103,2004,George W. Bush,Republican,5345
5103,2004,John Kerry,Democratic,5188
5103,2004,Ralph Nader,Populist AR,48
5103,2004,Michael Peroutka,Constitutional,41
5103,2004,David Cobb,Green AR,15
5103,2004,Michael Badnarik,Libertarian,13
5071,2004,George W. Bush,Republican,4311
5071,2004,John Kerry,Democratic,3622
5071,2004,Ralph Nader,Populist AR,69
5071,2004,David Cobb,Green AR,18
5071,2004,Michael Peroutka,Constitutional,13
5071,2004,Michael Badnarik,Libertarian,11
5027,2004,George W. Bush,Republican,5729
5027,2004,John Kerry,Democratic,4108
5027,2004,Ralph Nader,Populist AR,39
5027,2004,David Cobb,Green AR,17
5027,2004,Michael Badnarik,Libertarian,9
5027,2004,Michael Peroutka,Constitutional,7
5019,2004,John Kerry,Democratic,4990
5019,2004,George W. Bush,Republican,4144
5019,2004,Ralph Nader,Populist AR,46
5019,2004,David Cobb,Green AR,13
5019,2004,Michael Badnarik,Libertarian,10
5019,2004,Michael Peroutka,Constitutional,8
5113,2004,George W. Bush,Republican,5192
5113,2004,John Kerry,Democratic,2473
5113,2004,Ralph Nader,Populist AR,73
5113,2004,Michael Badnarik,Libertarian,28
5113,2004,Michael Peroutka,Constitutional,22
5113,2004,David Cobb,Green AR,11
5003,2004,George W. Bush,Republican,4567
5003,2004,John Kerry,Democratic,3881
5003,2004,Ralph Nader,Populist AR,38
5003,2004,Michael Peroutka,Constitutional,11
5003,2004,David Cobb,Green AR,9
5003,2004,Michael Badnarik,Libertarian,6
5029,2004,George W. Bush,Republican,4009
5029,2004,John Kerry,Democratic,3982
5029,2004,Ralph Nader,Populist AR,56
5029,2004,David Cobb,Green AR,18
5029,2004,Michael Badnarik,Libertarian,11
5029,2004,Michael Peroutka,Constitutional,8
5083,2004,George W. Bush,Republican,5076
5083,2004,John Kerry,Democratic,3361
5083,2004,Ralph Nader,Populist AR,67
5083,2004,David Cobb,Green AR,20
5083,2004,Michael Peroutka,Constitutional,15
5083,2004,Michael Badnarik,Libertarian,12
5111,2004,John Kerry,Democratic,4069
5111,2004,George W. Bush,Republican,3555
5111,2004,Ralph Nader,Populist AR,68
5111,2004,David Cobb,Green AR,14
5111,2004,Michael Badnarik,Libertarian,12
5111,2004,Michael Peroutka,Constitutional,5
5053,2004,George W. Bush,Republican,4205
5053,2004,John Kerry,Democratic,2524
5053,2004,Ralph Nader,Populist AR,25
5053,2004,David Cobb,Green AR,9
