fips,election,candidate,party,vote
2,2012,Willard Mitt Romney,Republican,164676
2,2012,Barack H. Obama,Democratic,122640
2,2012,Gary Johnson,Libertarian,7392
2,2012,Jill Stein,Green,2917
2,2012,Write-ins,-,2870
1073,2012,Barack H. Obama,AL Democratic,159876
1073,2012,Willard Mitt Romney,AL Republican,141683
1073,2012,Gary Johnson,Independent,1637
1073,2012,Write-ins,-,605
1073,2012,Jill Stein,Independent,438
1073,2012,"Virgil H. Goode, Jr.",Independent,284
1097,2012,Willard Mitt Romney,AL Republican,94893
1097,2012,Barack H. Obama,AL Democratic,78760
1097,2012,Gary Johnson,Independent,822
1097,2012,Write-ins,-,276
1097,2012,Jill Stein,Independent,251
1097,2012,"Virgil H. Goode, Jr.",Independent,138
1089,2012,Willard Mitt Romney,AL Republican,90884
1089,2012,Barack H. Obama,AL Democratic,62015
1089,2012,Gary Johnson,Independent,1531
1089,2012,Jill Stein,Independent,381
1089,2012,Write-ins,-,369
1089,2012,"Virgil H. Goode, Jr.",Independent,248
1117,2012,Willard Mitt Romney,AL Republican,71436
1117,2012,Barack H. Obama,AL Democratic,20051
1117,2012,Gary Johnson,Independent,725
1117,2012,Write-ins,-,235
1117,2012,Jill Stein,Independent,171
1117,2012,"Virgil H. Goode, Jr.",Independent,124
1101,2012,Barack H. Obama,AL Democratic,63085
1101,2012,Willard Mitt Romney,AL Republican,38332
1101,2012,Gary Johnson,Independent,339
1101,2012,Write-ins,-,143
1101,2012,Jill Stein,Independent,100
1101,2012,"Virgil H. Goode, Jr.",Independent,68
1003,2012,Willard Mitt Romney,AL Republican,66016
1003,2012,Barack H. Obama,AL Democratic,18424
1003,2012,Gary Johnson,Independent,607
1003,2012,Jill Stein,Independent,169
1003,2012,Write-ins,-,153
1003,2012,"Virgil H. Goode, Jr.",Independent,122
1125,2012,Willard Mitt Romney,AL Republican,45748
1125,2012,Barack H. Obama,AL Democratic,32048
1125,2012,Gary Johnson,Independent,553
1125,2012,Write-ins,-,182
1125,2012,Jill Stein,Independent,130
1125,2012,"Virgil H. Goode, Jr.",Independent,111
1081,2012,Willard Mitt Romney,AL Republican,32194
1081,2012,Barack H. Obama,AL Democratic,21381
1081,2012,Gary Johnson,Independent,604
1081,2012,Write-ins,-,137
1081,2012,Jill Stein,Independent,98
1081,2012,"Virgil H. Goode, Jr.",Independent,82
1103,2012,Willard Mitt Romney,AL Republican,35391
1103,2012,Barack H. Obama,AL Democratic,13439
1103,2012,Gary Johnson,Independent,321
1103,2012,Write-ins,-,136
1103,2012,Jill Stein,Independent,88
1103,2012,"Virgil H. Goode, Jr.",Independent,84
1015,2012,Willard Mitt Romney,AL Republican,30278
1015,2012,Barack H. Obama,AL Democratic,15511
1015,2012,Gary Johnson,Independent,291
1015,2012,Write-ins,-,107
1015,2012,Jill Stein,Independent,92
1015,2012,"Virgil H. Goode, Jr.",Independent,85
1055,2012,Willard Mitt Romney,AL Republican,29130
1055,2012,Barack H. Obama,AL Democratic,12803
1055,2012,Gary Johnson,Independent,395
1055,2012,"Virgil H. Goode, Jr.",Independent,102
1055,2012,Jill Stein,Independent,100
1055,2012,Write-ins,-,94
1069,2012,Willard Mitt Romney,AL Republican,29270
1069,2012,Barack H. Obama,AL Democratic,12367
1069,2012,Gary Johnson,Independent,210
1069,2012,Write-ins,-,66
1069,2012,"Virgil H. Goode, Jr.",Independent,40
1069,2012,Jill Stein,Independent,31
1083,2012,Willard Mitt Romney,AL Republican,25295
1083,2012,Barack H. Obama,AL Democratic,9829
1083,2012,Gary Johnson,Independent,218
1083,2012,Write-ins,-,81
1083,2012,"Virgil H. Goode, Jr.",Independent,63
1083,2012,Jill Stein,Independent,54
1077,2012,Willard Mitt Romney,AL Republican,23911
1077,2012,Barack H. Obama,AL Democratic,12511
