fips,election,candidate,party,vote
2,2016,Donald J. Trump,Republican,163387
2,2016,Hillary Clinton,Democratic,116454
2,2016,Gary Johnson,Libertarian,18725
2,2016,Write-ins,-,9201
2,2016,Dr. Jill Stein,Green,5735
2,2016,Darrell L. Castle,AK Constitution,3866
2,2016,Rockey de la Fuente,Non-Affiliated,1240
1001,2016,Donald J. Trump,AL Republican,18172
1001,2016,Hillary Clinton,AL Democratic,5936
1001,2016,Gary Johnson,Independent,546
1001,2016,Write-ins,-,214
1001,2016,Dr. Jill Stein,Independent,105
1003,2016,Donald J. Trump,AL Republican,72883
1003,2016,Hillary Clinton,AL Democratic,18458
1003,2016,Gary Johnson,Independent,2464
1003,2016,Write-ins,-,954
1003,2016,Dr. Jill Stein,Independent,456
1005,2016,Donald J. Trump,AL Republican,5454
1005,2016,Hillary Clinton,AL Democratic,4871
1005,2016,Gary Johnson,Independent,93
1005,2016,Write-ins,-,33
1005,2016,Dr. Jill Stein,Independent,18
1007,2016,Donald J. Trump,AL Republican,6738
1007,2016,Hillary Clinton,AL Democratic,1874
1007,2016,Gary Johnson,Independent,124
1007,2016,Write-ins,-,66
1007,2016,Dr. Jill Stein,Independent,17
1009,2016,Donald J. Trump,AL Republican,22859
1009,2016,Hillary Clinton,AL Democratic,2156
1009,2016,Gary Johnson,Independent,338
1009,2016,Write-ins,-,146
1009,2016,Dr. Jill Stein,Independent,89
1011,2016,Hillary Clinton,AL Democratic,3530
1011,2016,Donald J. Trump,AL Republican,1140
1011,2016,Gary Johnson,Independent,22
1011,2016,Dr. Jill Stein,Independent,10
1011,2016,Write-ins,-,8
1013,2016,Donald J. Trump,AL Republican,4901
1013,2016,Hillary Clinton,AL Democratic,3726
1013,2016,Gary Johnson,Independent,65
1013,2016,Write-ins,-,27
1013,2016,Dr. Jill Stein,Independent,13
1015,2016,Donald J. Trump,AL Republican,32865
1015,2016,Hillary Clinton,AL Democratic,13242
1015,2016,Gary Johnson,Independent,1116
1015,2016,Write-ins,-,379
1015,2016,Dr. Jill Stein,Independent,262
1017,2016,Donald J. Trump,AL Republican,7843
1017,2016,Hillary Clinton,AL Democratic,5784
1017,2016,Gary Johnson,Independent,168
1017,2016,Write-ins,-,61
1017,2016,Dr. Jill Stein,Independent,44
1019,2016,Donald J. Trump,AL Republican,8953
1019,2016,Hillary Clinton,AL Democratic,1547
1019,2016,Gary Johnson,Independent,147
1019,2016,Write-ins,-,60
1019,2016,Dr. Jill Stein,Independent,26
1021,2016,Donald J. Trump,AL Republican,15081
1021,2016,Hillary Clinton,AL Democratic,2911
1021,2016,Gary Johnson,Independent,228
1021,2016,Write-ins,-,97
1021,2016,Dr. Jill Stein,Independent,52
1023,2016,Donald J. Trump,AL Republican,4106
1023,2016,Hillary Clinton,AL Democratic,3109
1023,2016,Gary Johnson,Independent,52
1023,2016,Write-ins,-,19
1023,2016,Dr. Jill Stein,Independent,6
1025,2016,Donald J. Trump,AL Republican,7140
1025,2016,Hillary Clinton,AL Democratic,5749
1025,2016,Gary Johnson,Independent,99
1025,2016,Write-ins,-,26
1025,2016,Dr. Jill Stein,Independent,17
1027,2016,Donald J. Trump,AL Republican,5245
1027,2016,Hillary Clinton,AL Democratic,1237
1027,2016,Gary Johnson,Independent,93
1027,2016,Write-ins,-,33
1027,2016,Dr. Jill Stein,Independent,16
1029,2016,Donald J. Trump,AL Republican,5764
1029,2016,Hillary Clinton,AL Democratic,684
1029,2016,Gary Johnson,Independent,90
1029,2016,Write-ins,-,35
1029,2016,Dr. Jill Stein,Independent,20
1031,2016,Donald J. Trump,AL Republican,15875
1031,2016,Hillary Clinton,AL Democratic,4221
1031,2016,Gary Johnson,Independent,396
1031,2016,Write-ins,-,171
1031,2016,Dr. Jill Stein,Independent,104
1033,2016,Donald J. Trump,AL Republican,16746
1033,2016,Hillary Clinton,AL Democratic,7312
1033,2016,Gary Johnson,Independent,511
1033,2016,Write-ins,-,239
1033,2016,Dr. Jill Stein,Independent,107
1035,2016,Donald J. Trump,AL Republican,3420
1035,2016,Hillary Clinton,AL Democratic,3080
1035,2016,Gary Johnson,Independent,51
1035,2016,Write-ins,-,24
1035,2016,Dr. Jill Stein,Independent,10
1037,2016,Donald J. Trump,AL Republican,3381
1037,2016,Hillary Clinton,AL Democratic,1782
