fips,election,candidate,party,vote
1037,2016,Gary Johnson,Independent,53
1037,2016,Write-ins,-,22
1037,2016,Dr. Jill Stein,Independent,14
1039,2016,Donald J. Trump,AL Republican,13267
1039,2016,Hillary Clinton,AL Democratic,2387
1039,2016,Gary Johnson,Independent,183
1039,2016,Write-ins,-,67
1039,2016,Dr. Jill Stein,Independent,36
1041,2016,Donald J. Trump,AL Republican,4513
1041,2016,Hillary Clinton,AL Democratic,1664
1041,2016,Gary Johnson,Independent,65
1041,2016,Dr. Jill Stein,Independent,14
1041,2016,Write-ins,-,11
1043,2016,Donald J. Trump,AL Republican,32989
1043,2016,Hillary Clinton,AL Democratic,3798
1043,2016,Gary Johnson,Independent,687
1043,2016,Write-ins,-,265
1043,2016,Dr. Jill Stein,Independent,134
1045,2016,Donald J. Trump,AL Republican,13808
1045,2016,Hillary Clinton,AL Democratic,4413
1045,2016,Gary Johnson,Independent,350
1045,2016,Write-ins,-,116
1045,2016,Dr. Jill Stein,Independent,62
1047,2016,Hillary Clinton,AL Democratic,12836
1047,2016,Donald J. Trump,AL Republican,5789
1047,2016,Gary Johnson,Independent,96
1047,2016,Write-ins,-,47
1047,2016,Dr. Jill Stein,Independent,24
1049,2016,Donald J. Trump,AL Republican,21405
1049,2016,Hillary Clinton,AL Democratic,3622
1049,2016,Gary Johnson,Independent,458
1049,2016,Write-ins,-,189
1049,2016,Dr. Jill Stein,Independent,152
1051,2016,Donald J. Trump,AL Republican,27634
1051,2016,Hillary Clinton,AL Democratic,8443
1051,2016,Gary Johnson,Independent,738
1051,2016,Write-ins,-,333
1051,2016,Dr. Jill Stein,Independent,112
1053,2016,Donald J. Trump,AL Republican,9935
1053,2016,Hillary Clinton,AL Democratic,4605
1053,2016,Gary Johnson,Independent,188
1053,2016,Write-ins,-,80
1053,2016,Dr. Jill Stein,Independent,37
1055,2016,Donald J. Trump,AL Republican,32353
1055,2016,Hillary Clinton,AL Democratic,10442
1055,2016,Gary Johnson,Independent,835
1055,2016,Write-ins,-,370
1055,2016,Dr. Jill Stein,Independent,164
1057,2016,Donald J. Trump,AL Republican,6712
1057,2016,Hillary Clinton,AL Democratic,1362
1057,2016,Gary Johnson,Independent,109
1057,2016,Write-ins,-,42
1057,2016,Dr. Jill Stein,Independent,24
1059,2016,Donald J. Trump,AL Republican,9466
1059,2016,Hillary Clinton,AL Democratic,2197
1059,2016,Gary Johnson,Independent,238
1059,2016,Write-ins,-,85
1059,2016,Dr. Jill Stein,Independent,54
1061,2016,Donald J. Trump,AL Republican,9994
1061,2016,Hillary Clinton,AL Democratic,1525
1061,2016,Gary Johnson,Independent,149
1061,2016,Write-ins,-,66
1061,2016,Dr. Jill Stein,Independent,24
1063,2016,Hillary Clinton,AL Democratic,4013
1063,2016,Donald J. Trump,AL Republican,838
1063,2016,Gary Johnson,Independent,13
1063,2016,Write-ins,-,11
1063,2016,Dr. Jill Stein,Independent,5
1065,2016,Hillary Clinton,AL Democratic,4775
1065,2016,Donald J. Trump,AL Republican,3173
1065,2016,Gary Johnson,Independent,54
1065,2016,Write-ins,-,26
1065,2016,Dr. Jill Stein,Independent,12
1067,2016,Donald J. Trump,AL Republican,5632
1067,2016,Hillary Clinton,AL Democratic,2292
1067,2016,Gary Johnson,Independent,91
1067,2016,Write-ins,-,40
1067,2016,Dr. Jill Stein,Independent,17
1069,2016,Donald J. Trump,AL Republican,30728
1069,2016,Hillary Clinton,AL Democratic,10664
1069,2016,Gary Johnson,Independent,779
1069,2016,Write-ins,-,324
1069,2016,Dr. Jill Stein,Independent,144
1071,2016,Donald J. Trump,AL Republican,16672
1071,2016,Hillary Clinton,AL Democratic,3673
1071,2016,Gary Johnson,Independent,393
1071,2016,Write-ins,-,156
1071,2016,Dr. Jill Stein,Independent,90
1073,2016,Hillary Clinton,AL Democratic,156873
1073,2016,Donald J. Trump,AL Republican,134768
1073,2016,Gary Johnson,Independent,6645
1073,2016,Write-ins,-,4351
1073,2016,Dr. Jill Stein,Independent,1554
1075,2016,Donald J. Trump,AL Republican,5823
1075,2016,Hillary Clinton,AL Democratic,1036
1075,2016,Gary Johnson,Independent,62
1075,2016,Write-ins,-,30
1075,2016,Dr. Jill Stein,Independent,15
1077,2016,Donald J. Trump,AL Republican,27899
1077,2016,Hillary Clinton,AL Democratic,9952
1077,2016,Gary Johnson,Independent,987
1077,2016,Write-ins,-,465
1077,2016,Dr. Jill Stein,Independent,222
1079,2016,Donald J. Trump,AL Republican,10833
1079,2016,Hillary Clinton,AL Democratic,3627
1079,2016,Gary Johnson,Independent,250
1079,2016,Write-ins,-,88
1079,2016,Dr. Jill Stein,Independent,31
1081,2016,Donald J. Trump,AL Republican,34617
1081,2016,Hillary Clinton,AL Democratic,21230
1081,2016,Gary Johnson,Independent,2030
1081,2016,Write-ins,-,950
1081,2016,Dr. Jill Stein,Independent,364
1083,2016,Donald J. Trump,AL Republican,29067
1083,2016,Hillary Clinton,AL Democratic,9468
1083,2016,Gary Johnson,Independent,1055
1083,2016,Write-ins,-,502
1083,2016,Dr. Jill Stein,Independent,202
1085,2016,Hillary Clinton,AL Democratic,4883
1085,2016,Donald J. Trump,AL Republican,1751
1085,2016,Gary Johnson,Independent,32
1085,2016,Dr. Jill Stein,Independent,11
1085,2016,Write-ins,-,7
1087,2016,Hillary Clinton,AL Democratic,7566
1087,2016,Donald J. Trump,AL Republican,1431
1087,2016,Gary Johnson,Independent,69
1087,2016,Dr. Jill Stein,Independent,49
1087,2016,Write-ins,-,25
1089,2016,Donald J. Trump,AL Republican,89520
1089,2016,Hillary Clinton,AL Democratic,62822
1089,2016,Gary Johnson,Independent,6621
1089,2016,Write-ins,-,3172
1089,2016,Dr. Jill Stein,Independent,1254
1091,2016,Hillary Clinton,AL Democratic,5615
1091,2016,Donald J. Trump,AL Republican,5233
1091,2016,Gary Johnson,Independent,104
1091,2016,Write-ins,-,29
1091,2016,Dr. Jill Stein,Independent,13
1093,2016,Donald J. Trump,AL Republican,11274
1093,2016,Hillary Clinton,AL Democratic,1432
1093,2016,Gary Johnson,Independent,181
1093,2016,Write-ins,-,71
1093,2016,Dr. Jill Stein,Independent,26
1095,2016,Donald J. Trump,AL Republican,29233
1095,2016,Hillary Clinton,AL Democratic,4917
1095,2016,Gary Johnson,Independent,678
1095,2016,Write-ins,-,330
1095,2016,Dr. Jill Stein,Independent,158
1097,2016,Donald J. Trump,AL Republican,95116
1097,2016,Hillary Clinton,AL Democratic,72186
1097,2016,Gary Johnson,Independent,3291
1097,2016,Write-ins,-,1353
1097,2016,Dr. Jill Stein,Independent,791
1099,2016,Donald J. Trump,AL Republican,5795
1099,2016,Hillary Clinton,AL Democratic,4332
1099,2016,Gary Johnson,Independent,88
1099,2016,Write-ins,-,39
1099,2016,Dr. Jill Stein,Independent,17
1101,2016,Hillary Clinton,AL Democratic,58916
1101,2016,Donald J. Trump,AL Republican,34003
1101,2016,Gary Johnson,Independent,1486
1101,2016,Write-ins,-,983
1101,2016,Dr. Jill Stein,Independent,490
1103,2016,Donald J. Trump,AL Republican,37486
1103,2016,Hillary Clinton,AL Democratic,11254
1103,2016,Gary Johnson,Independent,1168
1103,2016,Write-ins,-,518
1103,2016,Dr. Jill Stein,Independent,218
1105,2016,Hillary Clinton,AL Democratic,3824
1105,2016,Donald J. Trump,AL Republican,1407
1105,2016,Gary Johnson,Independent,23
1105,2016,Write-ins,-,18
1105,2016,Dr. Jill Stein,Independent,6
1107,2016,Donald J. Trump,AL Republican,5456
1107,2016,Hillary Clinton,AL Democratic,3972
1107,2016,Gary Johnson,Independent,49
1107,2016,Write-ins,-,46
1107,2016,Dr. Jill Stein,Independent,19
1109,2016,Donald J. Trump,AL Republican,7693
1109,2016,Hillary Clinton,AL Democratic,5056
1109,2016,Gary Johnson,Independent,257
1109,2016,Write-ins,-,114
1109,2016,Dr. Jill Stein,Independent,48
1111,2016,Donald J. Trump,AL Republican,7705
1111,2016,Hillary Clinton,AL Democratic,2291
1111,2016,Gary Johnson,Independent,124
1111,2016,Write-ins,-,48
1111,2016,Dr. Jill Stein,Independent,19
1113,2016,Hillary Clinton,AL Democratic,9579
1113,2016,Donald J. Trump,AL Republican,9210
1113,2016,Gary Johnson,Independent,281
1113,2016,Write-ins,-,118
1113,2016,Dr. Jill Stein,Independent,68
1115,2016,Donald J. Trump,AL Republican,31651
1115,2016,Hillary Clinton,AL Democratic,5589
1115,2016,Gary Johnson,Independent,684
1115,2016,Write-ins,-,346
1115,2016,Dr. Jill Stein,Independent,130
1117,2016,Donald J. Trump,AL Republican,73020
1117,2016,Hillary Clinton,AL Democratic,22977
1117,2016,Gary Johnson,Independent,2965
1117,2016,Write-ins,-,1812
1117,2016,Dr. Jill Stein,Independent,480
1119,2016,Hillary Clinton,AL Democratic,4746
1119,2016,Donald J. Trump,AL Republican,1581
1119,2016,Gary Johnson,Independent,57
1119,2016,Dr. Jill Stein,Independent,14
1119,2016,Write-ins,-,13
1121,2016,Donald J. Trump,AL Republican,20614
1121,2016,Hillary Clinton,AL Democratic,12121
1121,2016,Gary Johnson,Independent,411
1121,2016,Write-ins,-,155
1121,2016,Dr. Jill Stein,Independent,106
1123,2016,Donald J. Trump,AL Republican,13594
1123,2016,Hillary Clinton,AL Democratic,5519
1123,2016,Gary Johnson,Independent,233
1123,2016,Write-ins,-,88
1123,2016,Dr. Jill Stein,Independent,52
1125,2016,Donald J. Trump,AL Republican,47723
1125,2016,Hillary Clinton,AL Democratic,31762
1125,2016,Gary Johnson,Independent,1873
1125,2016,Write-ins,-,952
1125,2016,Dr. Jill Stein,Independent,390
1127,2016,Donald J. Trump,AL Republican,24266
1127,2016,Hillary Clinton,AL Democratic,4497
1127,2016,Gary Johnson,Independent,455
1127,2016,Write-ins,-,159
1127,2016,Dr. Jill Stein,Independent,95
1129,2016,Donald J. Trump,AL Republican,6042
1129,2016,Hillary Clinton,AL Democratic,2374
1129,2016,Gary Johnson,Independent,73
1129,2016,Dr. Jill Stein,Independent,22
1129,2016,Write-ins,-,22
1131,2016,Hillary Clinton,AL Democratic,4339
1131,2016,Donald J. Trump,AL Republican,1742
1131,2016,Gary Johnson,Independent,22
1131,2016,Write-ins,-,13
1131,2016,Dr. Jill Stein,Independent,7
1133,2016,Donald J. Trump,AL Republican,9228
1133,2016,Hillary Clinton,AL Democratic,872
1133,2016,Gary Johnson,Independent,131
1133,2016,Write-ins,-,53
1133,2016,Dr. Jill Stein,Independent,29
4001,2016,Hillary Clinton,Democratic,17083
4001,2016,Donald J. Trump,Republican,8240
4001,2016,Gary Johnson,Libertarian,1221
4001,2016,Write-ins,-,549
4001,2016,Dr. Jill Stein,Green,469
4001,2016,Evan McMullin,Write-in,59
4001,2016,Darrell L. Castle,Write-in,34
4001,2016,Thomas Hoefling,Write-in,5
4001,2016,Joseph Allen Maldonado,Write-in,1
4003,2016,Donald J. Trump,Republican,28092
4003,2016,Hillary Clinton,Democratic,17450
4003,2016,Gary Johnson,Libertarian,2394
4003,2016,Dr. Jill Stein,Green,993
4003,2016,Write-ins,-,631
4003,2016,Evan McMullin,Write-in,409
4003,2016,Darrell L. Castle,Write-in,37
4003,2016,Thomas Hoefling,Write-in,4
4003,2016,Rocky de la Fuente,Write-in,3
4003,2016,Laurence Kotlikoff,Write-in,1
4003,2016,Mike Smith,Write-in,1
4005,2016,Hillary Clinton,Democratic,32404
4005,2016,Donald J. Trump,Republican,21108
4005,2016,Gary Johnson,Libertarian,2978
4005,2016,Dr. Jill Stein,Green,1414
4005,2016,Write-ins,-,1346
4005,2016,Evan McMullin,Write-in,514
4005,2016,Darrell L. Castle,Write-in,13
4005,2016,Laurence Kotlikoff,Write-in,3
4005,2016,Rocky de la Fuente,Write-in,2
4005,2016,Thomas Hoefling,Write-in,1
4005,2016,Joseph Allen Maldonado,Write-in,1
4007,2016,Donald J. Trump,Republican,14182
4007,2016,Hillary Clinton,Democratic,7003
4007,2016,Gary Johnson,Libertarian,803
4007,2016,Dr. Jill Stein,Green,212
4007,2016,Write-ins,-,207
4007,2016,Evan McMullin,Write-in,104
4007,2016,Darrell L. Castle,Write-in,4
4009,2016,Donald J. Trump,Republican,8025
4009,2016,Hillary Clinton,Democratic,3301
4009,2016,Gary Johnson,Libertarian,497
4009,2016,Evan McMullin,Write-in,179
4009,2016,Write-ins,-,147
4009,2016,Dr. Jill Stein,Green,116
4009,2016,Darrell L. Castle,Write-in,14
4009,2016,Thomas Hoefling,Write-in,2
4011,2016,Donald J. Trump,Republican,1892
4011,2016,Hillary Clinton,Democratic,1092
4011,2016,Gary Johnson,Libertarian,200
4011,2016,Dr. Jill Stein,Green,59
4011,2016,Write-ins,-,30
4011,2016,Evan McMullin,Write-in,26
4011,2016,Darrell L. Castle,Write-in,1
4012,2016,Donald J. Trump,Republican,4003
4012,2016,Hillary Clinton,Democratic,1575
4012,2016,Gary Johnson,Libertarian,211
4012,2016,Write-ins,-,74
4012,2016,Dr. Jill Stein,Green,73
4012,2016,Evan McMullin,Write-in,10
4012,2016,Thomas Hoefling,Write-in,3
4012,2016,Darrell L. Castle,Write-in,2
4013,2016,Donald J. Trump,Republican,747361
4013,2016,Hillary Clinton,Democratic,702907
4013,2016,Gary Johnson,Libertarian,67043
4013,2016,Dr. Jill Stein,Green,19432
4013,2016,Write-ins,-,18860
4013,2016,Evan McMullin,Write-in,11448
4013,2016,Darrell L. Castle,Write-in,616
4013,2016,Thomas Hoefling,Write-in,52
4013,2016,Mike Smith,Write-in,47
4013,2016,Laurence Kotlikoff,Write-in,36
4013,2016,Rocky de la Fuente,Write-in,20
4013,2016,Joseph Allen Maldonado,Write-in,12
4015,2016,Donald J. Trump,Republican,58282
4015,2016,Hillary Clinton,Democratic,17455
4015,2016,Gary Johnson,Libertarian,2639
4015,2016,Dr. Jill Stein,Green,740
4015,2016,Write-ins,-,598
4015,2016,Evan McMullin,Write-in,204
4015,2016,Darrell L. Castle,Write-in,24
4015,2016,Thomas Hoefling,Write-in,1
4017,2016,Donald J. Trump,Republican,20577
4017,2016,Hillary Clinton,Democratic,16459
4017,2016,Gary Johnson,Libertarian,1410
4017,2016,Dr. Jill Stein,Green,703
4017,2016,Write-ins,-,644
4017,2016,Evan McMullin,Write-in,472
4017,2016,Darrell L. Castle,Write-in,24
4017,2016,Mike Smith,Write-in,2
4017,2016,Rocky de la Fuente,Write-in,1
4017,2016,Thomas Hoefling,Write-in,1
4017,2016,Joseph Allen Maldonado,Write-in,1
4019,2016,Hillary Clinton,Democratic,224661
4019,2016,Donald J. Trump,Republican,167428
4019,2016,Gary Johnson,Libertarian,15620
4019,2016,Dr. Jill Stein,Green,6200
4019,2016,Write-ins,-,5237
4019,2016,Evan McMullin,Write-in,2328
4019,2016,Darrell L. Castle,Write-in,141
4019,2016,Laurence Kotlikoff,Write-in,8
4019,2016,Mike Smith,Write-in,7
4019,2016,Thomas Hoefling,Write-in,5
4019,2016,Rocky de la Fuente,Write-in,3
4019,2016,Joseph Allen Maldonado,Write-in,2
4021,2016,Donald J. Trump,Republican,72819
4021,2016,Hillary Clinton,Democratic,47892
4021,2016,Gary Johnson,Libertarian,5010
4021,2016,Dr. Jill Stein,Green,1476
4021,2016,Write-ins,-,1300
4021,2016,Evan McMullin,Write-in,963
4021,2016,Darrell L. Castle,Write-in,75
4021,2016,Thomas Hoefling,Write-in,4
4021,2016,Mike Smith,Write-in,4
4021,2016,Laurence Kotlikoff,Write-in,2
4021,2016,Joseph Allen Maldonado,Write-in,1
4023,2016,Hillary Clinton,Democratic,11690
4023,2016,Donald J. Trump,Republican,3897
4023,2016,Gary Johnson,Libertarian,432
4023,2016,Dr. Jill Stein,Green,221
4023,2016,Write-ins,-,146
4023,2016,Evan McMullin,Write-in,43
4023,2016,Darrell L. Castle,Write-in,4
4025,2016,Donald J. Trump,Republican,71330
4025,2016,Hillary Clinton,Democratic,35590
4025,2016,Gary Johnson,Libertarian,3996
4025,2016,Dr. Jill Stein,Green,1588
4025,2016,Write-ins,-,1296
4025,2016,Evan McMullin,Write-in,596
4025,2016,Darrell L. Castle,Write-in,44
4025,2016,Thomas Hoefling,Write-in,6
4025,2016,Laurence Kotlikoff,Write-in,2
4025,2016,Joseph Allen Maldonado,Write-in,2
4027,2016,Donald J. Trump,Republican,25165
4027,2016,Hillary Clinton,Democratic,24605
4027,2016,Gary Johnson,Libertarian,1873
4027,2016,Dr. Jill Stein,Green,649
4027,2016,Write-ins,-,597
4027,2016,Evan McMullin,Write-in,94
4027,2016,Darrell L. Castle,Write-in,25
4027,2016,Thomas Hoefling,Write-in,1
4027,2016,Mike Smith,Write-in,1
5001,2016,Donald J. Trump,Republican,3826
5001,2016,Hillary Clinton,Democratic,1939
5001,2016,James Hedges,Independent,133
5001,2016,Gary Johnson,Libertarian,126
5001,2016,Dr. Jill Stein,Green,64
5001,2016,Evan McMullin,Better for America,44
5001,2016,Darrell L. Castle,Constitution,40
5001,2016,Lynn S. Kahn,Independent,40
5003,2016,Donald J. Trump,Republican,5338
5003,2016,Hillary Clinton,Democratic,2408
5003,2016,Gary Johnson,Libertarian,156
5003,2016,Evan McMullin,Better for America,56
5003,2016,Dr. Jill Stein,Green,34
5003,2016,James Hedges,Independent,33
5003,2016,Darrell L. Castle,Constitution,31
5003,2016,Lynn S. Kahn,Independent,27
5005,2016,Donald J. Trump,Republican,14682
5005,2016,Hillary Clinton,Democratic,4169
5005,2016,Gary Johnson,Libertarian,452
5005,2016,Evan McMullin,Better for America,158
5005,2016,Dr. Jill Stein,Green,140
5005,2016,Darrell L. Castle,Constitution,85
5005,2016,Lynn S. Kahn,Independent,42
5005,2016,James Hedges,Independent,38
5007,2016,Donald J. Trump,Republican,60871
5007,2016,Hillary Clinton,Democratic,28005
5007,2016,Gary Johnson,Libertarian,3871
5007,2016,Evan McMullin,Better for America,2313
5007,2016,Dr. Jill Stein,Green,949
5007,2016,Darrell L. Castle,Constitution,342
5007,2016,James Hedges,Independent,279
5007,2016,Lynn S. Kahn,Independent,194
5009,2016,Donald J. Trump,Republican,12235
5009,2016,Hillary Clinton,Democratic,2926
5009,2016,Gary Johnson,Libertarian,379
5009,2016,Evan McMullin,Better for America,186
5009,2016,Dr. Jill Stein,Green,134
5009,2016,Darrell L. Castle,Constitution,105
5009,2016,James Hedges,Independent,84
5009,2016,Lynn S. Kahn,Independent,62
5011,2016,Donald J. Trump,Republican,2164
5011,2016,Hillary Clinton,Democratic,1317
5011,2016,Gary Johnson,Libertarian,73
5011,2016,Evan McMullin,Better for America,35
5011,2016,James Hedges,Independent,21
5011,2016,Dr. Jill Stein,Green,16
5011,2016,Darrell L. Castle,Constitution,15
5011,2016,Lynn S. Kahn,Independent,12
5013,2016,Donald J. Trump,Republican,1556
5013,2016,Hillary Clinton,Democratic,639
5013,2016,Gary Johnson,Libertarian,44
5013,2016,Evan McMullin,Better for America,14
5013,2016,Darrell L. Castle,Constitution,7
5013,2016,Dr. Jill Stein,Green,3
5013,2016,James Hedges,Independent,3
5013,2016,Lynn S. Kahn,Independent,3
5015,2016,Donald J. Trump,Republican,6786
5015,2016,Hillary Clinton,Democratic,3342
5015,2016,Gary Johnson,Libertarian,238
5015,2016,Dr. Jill Stein,Green,210
5015,2016,Evan McMullin,Better for America,80
5015,2016,James Hedges,Independent,43
5015,2016,Darrell L. Castle,Constitution,32
5015,2016,Lynn S. Kahn,Independent,27
5017,2016,Hillary Clinton,Democratic,2350
5017,2016,Donald J. Trump,Republican,1716
5017,2016,Gary Johnson,Libertarian,35
5017,2016,Evan McMullin,Better for America,27
5017,2016,James Hedges,Independent,16
5017,2016,Dr. Jill Stein,Green,15
5017,2016,Lynn S. Kahn,Independent,13
5017,2016,Darrell L. Castle,Constitution,4
5019,2016,Donald J. Trump,Republican,4404
5019,2016,Hillary Clinton,Democratic,3620
5019,2016,Gary Johnson,Libertarian,196
5019,2016,Evan McMullin,Better for America,141
5019,2016,Dr. Jill Stein,Green,68
5019,2016,Darrell L. Castle,Constitution,42
5019,2016,James Hedges,Independent,34
5019,2016,Lynn S. Kahn,Independent,21
5021,2016,Donald J. Trump,Republican,3781
5021,2016,Hillary Clinton,Democratic,1199
5021,2016,Gary Johnson,Libertarian,100
5021,2016,Dr. Jill Stein,Green,35
5021,2016,James Hedges,Independent,27
5021,2016,Evan McMullin,Better for America,20
5021,2016,Darrell L. Castle,Constitution,19
5021,2016,Lynn S. Kahn,Independent,19
5023,2016,Donald J. Trump,Republican,9458
5023,2016,Hillary Clinton,Democratic,2101
5023,2016,Gary Johnson,Libertarian,229
5023,2016,Evan McMullin,Better for America,113
5023,2016,Dr. Jill Stein,Green,63
5023,2016,James Hedges,Independent,44
5023,2016,Darrell L. Castle,Constitution,42
5023,2016,Lynn S. Kahn,Independent,35
5025,2016,Donald J. Trump,Republican,2462
5025,2016,Hillary Clinton,Democratic,723
5025,2016,Gary Johnson,Libertarian,59
5025,2016,Evan McMullin,Better for America,53
5025,2016,James Hedges,Independent,32
5025,2016,Darrell L. Castle,Constitution,11
5025,2016,Dr. Jill Stein,Green,8
5025,2016,Lynn S. Kahn,Independent,6
5027,2016,Donald J. Trump,Republican,5456
5027,2016,Hillary Clinton,Democratic,3140
5027,2016,Gary Johnson,Libertarian,117
5027,2016,Evan McMullin,Better for America,50
5027,2016,Darrell L. Castle,Constitution,46
5027,2016,Dr. Jill Stein,Green,40
5027,2016,Lynn S. Kahn,Independent,20
5027,2016,James Hedges,Independent,18
5029,2016,Donald J. Trump,Republican,4849
5029,2016,Hillary Clinton,Democratic,2656
5029,2016,Gary Johnson,Libertarian,171
5029,2016,Evan McMullin,Better for America,84
5029,2016,James Hedges,Independent,69
5029,2016,Dr. Jill Stein,Green,43
5029,2016,Darrell L. Castle,Constitution,30
5029,2016,Lynn S. Kahn,Independent,25
5031,2016,Donald J. Trump,Republican,22892
5031,2016,Hillary Clinton,Democratic,10538
5031,2016,Gary Johnson,Libertarian,1031
5031,2016,Evan McMullin,Better for America,440
5031,2016,Dr. Jill Stein,Green,304
5031,2016,James Hedges,Independent,139
5031,2016,Darrell L. Castle,Constitution,134
5031,2016,Lynn S. Kahn,Independent,95
5033,2016,Donald J. Trump,Republican,16686
5033,2016,Hillary Clinton,Democratic,4488
5033,2016,Gary Johnson,Libertarian,581
5033,2016,Evan McMullin,Better for America,248
5033,2016,Dr. Jill Stein,Green,173
5033,2016,James Hedges,Independent,119
5033,2016,Darrell L. Castle,Constitution,80
5033,2016,Lynn S. Kahn,Independent,75
5035,2016,Hillary Clinton,Democratic,8410
5035,2016,Donald J. Trump,Republican,6964
5035,2016,Gary Johnson,Libertarian,242
5035,2016,Evan McMullin,Better for America,97
5035,2016,Dr. Jill Stein,Green,96
5035,2016,Darrell L. Castle,Constitution,58
5035,2016,Lynn S. Kahn,Independent,48
5035,2016,James Hedges,Independent,37
5037,2016,Donald J. Trump,Republican,4584
5037,2016,Hillary Clinton,Democratic,1999
5037,2016,Gary Johnson,Libertarian,105
5037,2016,James Hedges,Independent,54
5037,2016,Darrell L. Castle,Constitution,44
5037,2016,Evan McMullin,Better for America,32
5037,2016,Lynn S. Kahn,Independent,32
5037,2016,Dr. Jill Stein,Green,24
5039,2016,Donald J. Trump,Republican,1509
5039,2016,Hillary Clinton,Democratic,1165
5039,2016,Evan McMullin,Better for America,28
5039,2016,Gary Johnson,Libertarian,26
5039,2016,James Hedges,Independent,13
5039,2016,Dr. Jill Stein,Green,12
5039,2016,Lynn S. Kahn,Independent,10
