fips,election,candidate,party,vote
2,2008,"John S. McCain, III",Republican,193841
2,2008,Barack H. Obama,Democratic,123594
2,2008,Ralph Nader,Independent,3783
2,2008,Write-ins,-,1730
2,2008,Charles O. Baldwin,Alaskan Ind.,1660
2,2008,Bob Barr,Libertarian,1589
1073,2008,Barack H. Obama,Democratic,166121
1073,2008,"John S. McCain, III",Republican,149921
1073,2008,Bob Barr,Independent,793
1073,2008,Ralph Nader,Independent,713
1073,2008,Write-ins,-,552
1073,2008,Charles O. Baldwin,Independent,424
1097,2008,"John S. McCain, III",Republican,98049
1097,2008,Barack H. Obama,Democratic,82181
1097,2008,Ralph Nader,Independent,426
1097,2008,Bob Barr,Independent,327
1097,2008,Charles O. Baldwin,Independent,238
1097,2008,Write-ins,-,142
1097,2008,Ron Paul,-,54
1097,2008,Alan Keyes,-,5
1097,2008,Brian Moore,-,2
1089,2008,"John S. McCain, III",Republican,86965
1089,2008,Barack H. Obama,Democratic,64117
1089,2008,Bob Barr,Independent,579
1089,2008,Ralph Nader,Independent,481
1089,2008,Charles O. Baldwin,Independent,392
1089,2008,Write-ins,-,365
1117,2008,"John S. McCain, III",Republican,69060
1117,2008,Barack H. Obama,Democratic,20625
1117,2008,Bob Barr,Independent,304
1117,2008,Charles O. Baldwin,Independent,242
1117,2008,Ralph Nader,Independent,228
1117,2008,Write-ins,-,184
1101,2008,Barack H. Obama,Democratic,62166
1101,2008,"John S. McCain, III",Republican,42031
1101,2008,Ralph Nader,Independent,167
1101,2008,Bob Barr,Independent,148
1101,2008,Write-ins,-,110
1101,2008,Charles O. Baldwin,Independent,107
1101,2008,Ron Paul,-,12
1101,2008,Alan Keyes,-,2
1003,2008,"John S. McCain, III",Republican,61271
1003,2008,Barack H. Obama,Democratic,19386
1003,2008,Ralph Nader,Independent,250
1003,2008,Bob Barr,Independent,220
1003,2008,Charles O. Baldwin,Independent,170
1003,2008,Write-ins,-,116
1125,2008,"John S. McCain, III",Republican,45405
1125,2008,Barack H. Obama,Democratic,32796
1125,2008,Ralph Nader,Independent,211
1125,2008,Write-ins,-,192
1125,2008,Bob Barr,Independent,186
1125,2008,Charles O. Baldwin,Independent,122
1081,2008,"John S. McCain, III",Republican,32230
1081,2008,Barack H. Obama,Democratic,21498
1081,2008,Ralph Nader,Independent,192
1081,2008,Bob Barr,Independent,186
1081,2008,Write-ins,-,124
1081,2008,Charles O. Baldwin,Independent,95
1103,2008,"John S. McCain, III",Republican,36014
1103,2008,Barack H. Obama,Democratic,13895
1103,2008,Ralph Nader,Independent,223
1103,2008,Bob Barr,Independent,142
1103,2008,Write-ins,-,139
1103,2008,Charles O. Baldwin,Independent,129
1015,2008,"John S. McCain, III",Republican,32348
1015,2008,Barack H. Obama,Democratic,16334
1015,2008,Ralph Nader,Independent,248
1015,2008,Bob Barr,Independent,137
1015,2008,Charles O. Baldwin,Independent,108
1015,2008,Write-ins,-,57
1015,2008,Ron Paul,-,9
1015,2008,Cynthia A. McKinney,-,1
1055,2008,"John S. McCain, III",Republican,30595
1055,2008,Barack H. Obama,Democratic,13497
1055,2008,Ralph Nader,Independent,264
1055,2008,Bob Barr,Independent,149
1055,2008,Charles O. Baldwin,Independent,124
1055,2008,Write-ins,-,88
1055,2008,Ron Paul,-,19
1055,2008,Cynthia A. McKinney,-,1
1069,2008,"John S. McCain, III",Republican,29254
1069,2008,Barack H. Obama,Democratic,12225
1069,2008,Ralph Nader,Independent,78
1069,2008,Charles O. Baldwin,Independent,76
1069,2008,Bob Barr,Independent,59
1069,2008,Write-ins,-,43
1083,2008,"John S. McCain, III",Republican,23598
1083,2008,Barack H. Obama,Democratic,9536
1083,2008,Ralph Nader,Independent,128
1083,2008,Charles O. Baldwin,Independent,118
1083,2008,Bob Barr,Independent,103
1083,2008,Write-ins,-,56
1083,2008,Ron Paul,-,12
1077,2008,"John S. McCain, III",Republican,24068
1077,2008,Barack H. Obama,Democratic,13329
1077,2008,Ralph Nader,Independent,320
1077,2008,Charles O. Baldwin,Independent,145
1077,2008,Bob Barr,Independent,128
1077,2008,Write-ins,-,114
1115,2008,"John S. McCain, III",Republican,27649
1115,2008,Barack H. Obama,Democratic,6091
1115,2008,Ralph Nader,Independent,118
1115,2008,Charles O. Baldwin,Independent,114
1115,2008,Bob Barr,Independent,65
1115,2008,Write-ins,-,47
1115,2008,Ron Paul,-,4
1043,2008,"John S. McCain, III",Republican,28896
1043,2008,Barack H. Obama,Democratic,5864
1043,2008,Ralph Nader,Independent,227
1043,2008,Charles O. Baldwin,Independent,150
1043,2008,Bob Barr,Independent,89
1043,2008,Write-ins,-,79
1051,2008,"John S. McCain, III",Republican,25777
1051,2008,Barack H. Obama,Democratic,8301
1051,2008,Ralph Nader,Independent,70
1051,2008,Bob Barr,Independent,63
1051,2008,Charles O. Baldwin,Independent,59
1051,2008,Write-ins,-,31
1051,2008,Ron Paul,-,11
1051,2008,Alan Keyes,-,3
1095,2008,"John S. McCain, III",Republican,25727
1095,2008,Barack H. Obama,Democratic,7038
1095,2008,Ralph Nader,Independent,175
1095,2008,Bob Barr,Independent,82
1095,2008,Write-ins,-,76
1095,2008,Charles O. Baldwin,Independent,68
1121,2008,"John S. McCain, III",Republican,20112
1121,2008,Barack H. Obama,Democratic,13779
1121,2008,Ralph Nader,Independent,99
1121,2008,Charles O. Baldwin,Independent,92
1121,2008,Bob Barr,Independent,74
1121,2008,Write-ins,-,48
1127,2008,"John S. McCain, III",Republican,20722
1127,2008,Barack H. Obama,Democratic,7420
1127,2008,Ralph Nader,Independent,197
1127,2008,Write-ins,-,133
1127,2008,Charles O. Baldwin,Independent,105
1127,2008,Bob Barr,Independent,68
1127,2008,Ron Paul,-,7
1049,2008,"John S. McCain, III",Republican,17957
1049,2008,Barack H. Obama,Democratic,5658
1049,2008,Ralph Nader,Independent,151
1049,2008,Write-ins,-,120
1049,2008,Bob Barr,Independent,65
1049,2008,Charles O. Baldwin,Independent,64
1009,2008,"John S. McCain, III",Republican,20389
1009,2008,Barack H. Obama,Democratic,3522
1009,2008,Ralph Nader,Independent,127
1009,2008,Charles O. Baldwin,Independent,84
1009,2008,Bob Barr,Independent,81
1009,2008,Write-ins,-,64
1001,2008,"John S. McCain, III",Republican,17403
1001,2008,Barack H. Obama,Democratic,6093
1001,2008,Ralph Nader,Independent,46
1001,2008,Charles O. Baldwin,Independent,44
1001,2008,Bob Barr,Independent,31
1001,2008,Write-ins,-,24
1033,2008,"John S. McCain, III",Republican,14739
1033,2008,Barack H. Obama,Democratic,9703
1033,2008,Ralph Nader,Independent,161
1033,2008,Write-ins,-,104
1033,2008,Bob Barr,Independent,73
1033,2008,Charles O. Baldwin,Independent,63
1071,2008,"John S. McCain, III",Republican,14083
1071,2008,Barack H. Obama,Democratic,6374
1071,2008,Ralph Nader,Independent,180
1071,2008,Charles O. Baldwin,Independent,100
1071,2008,Write-ins,-,78
1071,2008,Bob Barr,Independent,59
1031,2008,"John S. McCain, III",Republican,14919
1031,2008,Barack H. Obama,Democratic,5079
1031,2008,Ralph Nader,Independent,50
1031,2008,Bob Barr,Independent,36
1031,2008,Charles O. Baldwin,Independent,28
1031,2008,Write-ins,-,16
1123,2008,"John S. McCain, III",Republican,13116
1123,2008,Barack H. Obama,Democratic,6063
