fips,election,candidate,party,vote
1051,2000,Albert Gore Jr.,Democratic,6652
1051,2000,Ralph Nader,Independent,212
1051,2000,Harry Browne,Libertarian,87
1051,2000,Patrick Buchanan,Independent,53
1051,2000,Write-ins,-,11
1051,2000,John Hagelin,Independent,8
1051,2000,Howard Phillips,Independent,4
1095,2000,George W. Bush,Republican,17084
1095,2000,Albert Gore Jr.,Democratic,10381
1095,2000,Ralph Nader,Independent,256
1095,2000,Patrick Buchanan,Independent,157
1095,2000,Harry Browne,Libertarian,82
1095,2000,Howard Phillips,Independent,10
1095,2000,Write-ins,-,10
1095,2000,John Hagelin,Independent,9
1121,2000,George W. Bush,Republican,13807
1121,2000,Albert Gore Jr.,Democratic,11264
1121,2000,Ralph Nader,Independent,184
1121,2000,Patrick Buchanan,Independent,107
1121,2000,Harry Browne,Libertarian,75
1121,2000,Howard Phillips,Independent,7
1121,2000,Write-ins,-,5
1121,2000,John Hagelin,Independent,2
1127,2000,George W. Bush,Republican,13486
1127,2000,Albert Gore Jr.,Democratic,11621
1127,2000,Ralph Nader,Independent,264
1127,2000,Patrick Buchanan,Independent,177
1127,2000,Harry Browne,Libertarian,70
1127,2000,Write-ins,-,10
1127,2000,Howard Phillips,Independent,8
1127,2000,John Hagelin,Independent,5
1049,2000,George W. Bush,Republican,12827
1049,2000,Albert Gore Jr.,Democratic,7056
1049,2000,Ralph Nader,Independent,175
1049,2000,Harry Browne,Libertarian,124
1049,2000,Patrick Buchanan,Independent,88
1049,2000,Howard Phillips,Independent,9
1049,2000,Write-ins,-,4
1049,2000,John Hagelin,Independent,2
1009,2000,George W. Bush,Republican,12667
1009,2000,Albert Gore Jr.,Democratic,4977
1009,2000,Ralph Nader,Independent,154
1009,2000,Patrick Buchanan,Independent,104
1009,2000,Harry Browne,Libertarian,51
1009,2000,Howard Phillips,Independent,10
1009,2000,John Hagelin,Independent,5
1009,2000,Write-ins,-,5
1001,2000,George W. Bush,Republican,11993
1001,2000,Albert Gore Jr.,Democratic,4942
1001,2000,Ralph Nader,Independent,160
1001,2000,Harry Browne,Libertarian,51
1001,2000,Patrick Buchanan,Independent,43
1001,2000,Howard Phillips,Independent,9
1001,2000,John Hagelin,Independent,5
1001,2000,Write-ins,-,5
1033,2000,Albert Gore Jr.,Democratic,10543
1033,2000,George W. Bush,Republican,10518
1033,2000,Ralph Nader,Independent,208
1033,2000,Patrick Buchanan,Independent,201
1033,2000,Harry Browne,Libertarian,38
1033,2000,Write-ins,-,11
1033,2000,Howard Phillips,Independent,9
1033,2000,John Hagelin,Independent,4
1071,2000,Albert Gore Jr.,Democratic,9066
1071,2000,George W. Bush,Republican,8475
1071,2000,Ralph Nader,Independent,184
1071,2000,Patrick Buchanan,Independent,118
